Class,a,CLASS355,CLASS1220,CLASS1776,CLASS2333,CLASS2439,CLASS2499,CLASS2513,CLASS2515,CLASS2531,CLASS2540,CLASS2550,CLASS2553,CLASS2554,CLASS2558,CLASS2561,CLASS2566,CLASS2567,CLASS2571,CLASS2573,CLASS2574,CLASS2576,CLASS2577,CLASS2580,CLASS2581,CLASS2582,CLASS2584,CLASS2588,CLASS2591,CLASS2592,CLASS2594,CLASS2595,CLASS2596,CLASS2598,CLASS2600,CLASS2601,CLASS2602,CLASS2603,CLASS2604,CLASS2605,CLASS2606,CLASS2607,CLASS2608,CLASS2610,CLASS2611,CLASS2613,CLASS2614,CLASS2615,CLASS2616,CLASS2617

Focus,0,99.2647058823529,97.9949259868802,96.16546161589451,90.20712287084358,91.43402172336593,79.70797384569849,70.9989916594803,44.10592932508164,28.598157873358243,89.4989448777759,37.62468987820141,60.948075633461364,47.56356821820968,54.798623958505765,25.28117476731866,41.672773102992345,32.04966269171422,41.21311332645439,28.969349387707926,54.00363771133176,34.73762591299346,33.014028976044855,30.505217657889073,63.62902074924298,38.82702762108951,24.14665272355665,29.82877051803611,39.12768441897765,62.75049091917195,49.360841292989875,70.20395946074761,38.00981164494562,43.16056062119937,34.84149728324255,40.96905209231983,37.18482804868667,41.587224948058925,25.297601269180852,34.904669827474024,83.38220531354746,65.53854059664768,51.08654846208378,28.90614522793703,28.599828604622708,49.12465577303855,29.85482442270498,50.09713657139439,47.50501683035515,46.670781294074416

Adjective,0,0,0,0.4796163069544364,0,0,1.524390243902439,1.3059701492537312,2.8328611898017,24.68354430379747,0.6989247311827957,32.831325301204814,2.0202020202020203,9.06148867313916,10.738255033557047,3.8781163434903045,1.3729977116704806,14.285714285714285,11.282051282051283,14.460285132382893,0.6779661016949152,3.7280701754385963,5.7915057915057915,14.85148514851485,0.31645569620253167,5.354058721934369,0.9779951100244498,0.3194888178913738,22.63083451202263,1.8018018018018018,4.733727810650888,0,1.923076923076923,41.71779141104294,4.797979797979798,0,3.795966785290628,13.577586206896552,1.9431988041853512,1.2332990750256938,0.24906600249066002,1.6198704103671706,3.870967741935484,8.165829145728644,10.433604336043361,0.17191977077363896,17.69230769230769,7.877041306436119,25.161290322580644,1.7361111111111112
Adverb,0,0,0,1.1990407673860912,1.99501246882793,0,0,8.582089552238806,17.280453257790366,6.329113924050633,0.4838709677419355,1.2048192771084338,26.936026936026934,0.6472491909385114,52.348993288590606,7.202216066481995,40.274599542334094,5.590062111801243,7.179487179487179,13.64562118126273,2.3728813559322033,1.0964912280701753,34.16988416988417,27.475247524752476,19.303797468354432,0.8635578583765112,8.06845965770171,2.8753993610223643,6.789250353606789,5.225225225225225,4.1420118343195265,0.6944444444444444,0,5.316973415132924,29.04040404040404,25.171624713958813,10.438908659549229,12.71551724137931,11.360239162929746,6.885919835560124,0.37359900373599003,0.5399568034557235,5.161290322580646,11.055276381909549,4.200542005420054,5.444126074498567,9.743589743589745,1.921229586935639,5.32258064516129,0
Conjunction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0470914127423825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.130434782608695,0,0,0,0,0,8.855291576673865,0,0,0,50.02865329512895,0,0,0,0
Determiner,100.0,0,0,0,0,0,4.573170731707317,0,0,0,90.48387096774194,0,0,4.207119741100324,0,0,0.9153318077803204,0,34.61538461538461,0,19.661016949152543,0,0,0,3.6392405063291138,8.981001727115718,0,0,0,0,0,0,0,0,0,0,2.8469750889679712,0,13.602391629297458,18.80781089414183,0,5.399568034557236,0,0,0,0.6303724928366762,0,0,0,0
GrammarOther,0,0,0,0,0,1.7857142857142856,0,0,0,4.746835443037975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.379965457685664,18.09290953545232,22.044728434504794,0,0,0,18.055555555555554,0,0,0,0,3.084223013048636,0,5.082212257100149,10.585817060637206,0,8.207343412526997,0,0,13.550135501355012,4.813753581661891,0,0,0,0
Noun,0,0,0.8021390374331552,1.1990407673860912,0.997506234413965,0.25510204081632654,3.3536585365853657,1.8656716417910446,3.39943342776204,16.772151898734176,0.3763440860215054,50.903614457831324,8.08080808080808,25.88996763754045,33.22147651006711,20.221606648199447,9.610983981693364,59.8343685300207,3.0769230769230766,4.0733197556008145,11.525423728813559,14.035087719298245,17.18146718146718,37.87128712871287,67.87974683544304,51.122625215889464,12.469437652811735,9.7444089456869,58.6987270155587,8.82882882882883,70.41420118343196,4.398148148148148,18.58974358974359,41.104294478527606,48.98989898989899,25.62929061784897,18.030842230130485,57.327586206896555,8.968609865470853,9.249743062692703,0.49813200498132004,3.347732181425486,4.946236559139785,41.95979899497487,54.06504065040651,4.1833810888252145,55.12820512820513,23.72718539865514,55.806451612903224,10.069444444444445
Other,0,0,0,0,0,0,0,0,1.69971671388102,0,0,0,0,0,0,0.554016620498615,3.203661327231121,0,0,0,0,0,0,0,6.487341772151899,0,0,0,0.7072135785007072,0,4.289940828402367,0,0,0,0,0,0,0,0,0.9249743062692704,0,0,0,1.1306532663316584,0,0,0,9.99039385206532,0.4838709677419355,0
Preposition,0,0,98.66310160427807,0,0,93.11224489795919,82.01219512195121,0,0,0.6329113924050633,0,0,60.94276094276094,0,1.006711409395973,17.451523545706372,2.745995423340961,0,0,2.6476578411405294,0,7.017543859649122,0,0,0,0,0,9.424920127795527,0.5657708628005658,1.8018018018018018,3.698224852071006,0,26.495726495726498,0,0,0,38.19691577698695,0,17.040358744394617,33.401849948612536,84.55790784557908,0,52.68817204301075,0.5025125628140703,0,9.799426934097422,0,0.6724303554274735,0.6451612903225806,0.8680555555555556
Pronoun,0,99.63235294117648,0,97.12230215827337,91.2718204488778,0,0,0,0,0,6.505376344086021,0,0,48.54368932038835,0,0,13.958810068649885,0,34.61538461538461,0,54.91525423728814,0.43859649122807015,1.5444015444015444,2.722772277227723,0,0,16.87041564792176,0,0,0,0,0,17.94871794871795,0,0,0,0.4744958481613286,3.2327586206896552,10.164424514200299,0,0.37359900373599003,0,1.5053763440860215,0.5025125628140703,0,6.934097421203439,0,50.816522574447646,0,68.92361111111111
Verb,0,0.3676470588235294,0,0,3.2418952618453867,1.1479591836734695,7.926829268292682,74.06716417910447,72.52124645892351,43.35443037974683,1.1290322580645162,8.433734939759036,1.3468013468013467,9.385113268608414,2.0134228187919465,25.207756232686982,10.297482837528602,17.184265010351965,7.948717948717949,61.099796334012225,6.440677966101695,63.37719298245614,36.486486486486484,10.396039603960396,1.1075949367088609,8.981001727115716,22.738386308068456,50.47923322683705,7.2135785007072135,81.0810810810811,11.242603550295858,74.53703703703702,33.97435897435898,6.952965235173824,10.606060606060606,8.237986270022883,19.81020166073547,8.405172413793103,28.998505231689087,17.780061664953752,5.72851805728518,69.43844492440604,31.39784946236559,32.914572864321606,14.363143631436316,13.810888252148997,13.974358974358976,4.226705091258405,8.870967741935484,18.40277777777778

Focus,100.0,99.59217348184998,99.10718331308037,96.8150987182874,92.96592128895362,96.34222787142119,81.01644537340366,85.34558532869565,73.35013460128582,47.62382080222629,89.9700950877489,60.47562667827201,63.00030373934937,51.27118690996538,57.91004375548646,39.00694745956646,47.13863335373823,61.269129407016074,43.68006126487916,62.469509644259055,56.965656668856866,69.26549630256234,48.58288591092324,45.944778880387375,68.04356252254678,52.880659182279764,35.778810592852935,53.57498527167009,60.98039508361664,80.67619855598151,69.2194906397828,75.89912538010802,41.93384863234183,56.547509150269434,56.47434385343346,47.12040478044382,40.54869752581682,58.61800348468271,29.004069178795184,34.63644917317627,91.45515336059619,68.9681688894483,56.405132722107545,50.29949290487592,54.61850283767149,49.08006798765685,56.84525625350959,51.43417572457922,59.23485869104353,68.26653411601194

