Class,to,and,CLASS2396,CLASS2480,CLASS2560,CLASS2589,CLASS2593,CLASS2599,CLASS2600,CLASS2601,CLASS2602,CLASS2603,CLASS2604,CLASS2606,CLASS2607,CLASS2609,CLASS2613,CLASS2618,CLASS2620,CLASS2623,CLASS2625,CLASS2627,CLASS2629,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2635,CLASS2636,CLASS2637,,Focus
VBD,0,0,0,0,1.0771992818671454,0,0,1.7688679245283019,64.24581005586593,0,0.9708737864077669,0,0,0,1.3803680981595092,0,0,16.2751677852349,0,0.14566642388929352,1.8495684340320593,0,62.4113475177305,4.587724736515809,0,4.581673306772909,5.656108597285068,1.3768485466598674,79.6976241900648,8.730614589316485,,44.88372910311267
VBG,0,0,0.3597122302158274,0,0.3590664272890485,0.6337135614702154,0,1.0613207547169812,13.687150837988826,0,1.9417475728155338,0,0.4660797514241326,2.0028612303290414,14.11042944785276,0.4285714285714286,0.5338078291814947,21.140939597315437,0,1.820830298616169,1.6029593094944512,0.16406890894175555,1.3171225937183384,1.5499070055796653,1.0227272727272727,1.5272244355909694,2.0361990950226243,2.1417644059153496,2.8077753779697625,14.704192992533027,,33.62267419531615
VBN,0,0,0,0,2.5134649910233393,0,0,1.8867924528301887,2.793296089385475,0,2.524271844660194,0,0,1.0014306151645207,2.147239263803681,0,0,4.026845637583892,0,2.0393299344501092,0.8631319358816275,0,0,0.9299442033477991,0,2.8552456839309426,1.1312217194570136,0.35696073431922487,1.2958963282937366,13.268236645605974,,35.053189627089054
VBP,0,0,0,0,0,0,0.3488372093023256,0.7075471698113208,1.536312849162011,0,0.3883495145631068,0,0,0,0,0,0.5338078291814947,1.006711409395973,0,0.14566642388929352,42.54007398273736,0,0,1.115933044017359,0,0.33200531208499334,0,0.1529831718510964,0.14398848092152627,1.665709362435382,,83.64528173818337
VBZ,0,0,0,0,0,0,0,0.3537735849056604,0.8379888268156425,0,0,0,0,1.5736766809728182,0.9202453987730062,0,0,1.006711409395973,0,0.29133284777858703,0,0,0,0,0,1.5272244355909694,0.1508295625942685,0.25497195308516063,1.1519078473722102,10.568638713383113,,57.005753543361116
WDT,0,0,0,0,0,0,0,0,0,6.934812760055478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301659125188537,0,0,0,,95.77831212577415
WP,0,0,0,0,0,0,0,0,0,8.460471567267684,0,0,0,0,0,0,0,0,0.1953125,0,0,0,0,0,15.340909090909092,0,0,0,0,0,,71.90024227965287
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22624434389140274,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8125,0,0.2466091245376079,0,0,0,14.09090909090909,0,0,0,0,0,,71.62335347066752

