Class,to,and,CLASS71,CLASS1280,CLASS2226,CLASS2387,CLASS2475,CLASS2544,CLASS2555,CLASS2558,CLASS2563,CLASS2584,CLASS2594,CLASS2595,CLASS2597,CLASS2599,CLASS2600,CLASS2601,CLASS2606,CLASS2607,CLASS2608,CLASS2610,CLASS2613,CLASS2614,CLASS2617,CLASS2618,CLASS2619,CLASS2621,CLASS2622,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,,Focus
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0.7132667617689016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0486891385767791,0,0,0,0,0,0,0,0,,71.0446826605827
VB,0,0,0,0.3853564547206166,0,0,0,0,0.7042253521126761,0,0,0,0.28530670470756064,0,42.181069958847736,0.9536784741144414,0,0.26472534745201853,0,0.36363636363636365,3.325942350332594,1.0559662090813093,0.6435006435006435,0,0,0,1.2075471698113207,0,1.4981273408239701,6.3305978898007025,0.15748031496062992,62.097611630321914,32.20338983050847,0.718562874251497,0,1.555352241537054,0,,50.680189083146544
VBD,0,0,0,0,0,0,0,94.18837675350701,1.971830985915493,0.87527352297593,1.2345679012345678,0,0,39.55555555555556,2.674897119341564,0.6811989100817438,0,0.6618133686300464,1.4322916666666665,74.66666666666667,16.851441241685144,0.7391763463569165,0,0,0,0,2.8679245283018866,0.5813953488372093,0.149812734082397,1.2895662368112544,74.01574803149606,13.499480789200415,0.9685230024213075,6.467065868263473,0,12.076852698993596,0,,40.12257734747517
VBG,0,0,0,0.3853564547206166,0,0.4524886877828055,0,0,1.1267605633802817,13.566739606126916,40.24691358024691,0,1.9971469329529243,4.0,1.440329218106996,0.9536784741144414,0,0.6618133686300464,1.171875,0.6060606060606061,12.86031042128603,0.9503695881731784,0,0.5964214711729622,0,0.4243281471004243,4.0,1.3953488372093024,0.6741573033707865,0.5861664712778429,7.244094488188976,5.192107995846314,0.9685230024213075,12.934131736526947,2.4128686327077746,9.149130832570906,1.4084507042253522,,34.8366694303699
VBN,0,0,0,0,0,0,0,0,1.1267605633802817,2.1881838074398248,13.82716049382716,0,3.138373751783167,2.666666666666667,0.411522633744856,4.223433242506812,0,0,0.390625,0,8.647450110864744,1.1615628299894403,0,0,0,0,1.3584905660377358,0.813953488372093,0.149812734082397,0,1.889763779527559,3.011422637590862,1.4527845036319613,17.12574850299401,0,2.5617566331198534,1.7605633802816902,,33.519727851568426
VBP,0,0,0,0,0,0,0,0.4008016032064128,0,0,0.49382716049382713,0,0,2.4444444444444446,29.835390946502056,0,0,0.1985440105890139,0,0,6.430155210643015,0,0,0,0,0,1.0566037735849056,0.3488372093023256,0.22471910112359553,11.48886283704572,0.15748031496062992,0.6230529595015576,13.438256658595641,0.23952095808383234,0,0.18298261665141813,0.2347417840375587,,50.22356348429573
VBZ,0,0,0,0,0,0,0,0.4008016032064128,0.28169014084507044,0.87527352297593,0.7407407407407408,0,0.28530670470756064,0,0,0,0,0,0,0,5.099778270509978,0,0,0,0,0,1.2830188679245282,1.3953488372093024,0.299625468164794,0.23446658851113714,1.0236220472440944,1.2461059190031152,0,18.802395209580837,0,1.1893870082342177,0,,57.94861039529433
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.915629322268327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36596523330283626,0,,94.96747904106346
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.437067773167358,0,0,0,0,0,0,0,0.2677376171352075,0,0,0,10.112359550561797,0,0,0,0,0,0,0,0,,68.98353922981518
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23622047244094488,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,5.848787446504993,0,0,0.2724795640326975,0,0,0,0,0,0,0,0,10.7095046854083,0,0,0,6.217228464419476,0,0,0,0,0,0,0,0,,57.90042364073774

Focus,100.0,100.0,100.0,99.20991120338721,95.05965073245409,89.2575533548733,100.0,99.13505525507625,51.98463159593004,43.67528022818482,52.82367811238817,97.00969653363065,40.3157178615896,57.248171715450304,54.26245812546575,60.54857690382811,73.91995635053591,48.89786448507311,63.841576811579934,83.45309276404318,31.335940519461758,59.32111285776885,95.96476243149618,48.648957578005856,82.75891472459652,84.20003177896054,79.21945198741791,68.81031927379317,51.382179660332184,47.52371322533889,74.99900463271536,63.61369227436596,44.53867142243474,37.53793068263518,59.33944710711047,41.712205304163,76.57401113183514

Adjective,0,0,0,0,0,0,0,0,2.8169014084507045,3.282275711159737,3.7037037037037033,0,6.990014265335235,0,0,29.291553133514988,0,16.015883520847122,17.057291666666668,0.24242424242424243,15.299334811529933,9.186906019007392,0,19.681908548707753,0.2677376171352075,0,4.528301886792453,5.6976744186046515,0.8988764044943821,5.1582649472450175,0.39370078740157477,0.4153686396677051,2.0581113801452786,2.874251497005988,52.54691689008043,18.389752973467523,0.9389671361502347,,29.830980512946965
Adverb,0,0,0,0,4.935064935064935,0,0,0,2.676056338028169,0.87527352297593,33.33333333333333,0,30.527817403708987,0.6666666666666667,0,5.040871934604905,0.2766251728907331,3.57379219060225,2.34375,0.7272727272727273,4.212860310421286,2.0063357972544877,0,0,11.244979919678714,0,0.7547169811320755,0.6976744186046512,54.531835205992515,20.281359906213364,2.440944881889764,0.9345794392523363,1.573849878934625,25.02994011976048,4.6916890080428955,33.66880146386093,0.2347417840375587,,31.204636072300406
Conjunction,0,100.0,0,0,0,0,0,0,0,0,0,0,0.5706134094151213,0,0,0,0,0,0,1.3333333333333335,0,0,0,15.50695825049702,0,0,0,0,12.808988764044942,0,0,0,0,0,0,0,0,,77.65107970352503
Determiner,0,0,99.87841945288753,0,0,0,100.0,0,0,0,0,1.8337408312958436,12.981455064194009,40.666666666666664,0,0,6.915629322268327,0,2.994791666666667,0,0,0,0,0,0,1.272984441301273,1.1320754716981132,0,0.8239700374531835,0,0,0,0,0,30.42895442359249,1.555352241537054,0,,48.12914183464865
GrammarOther,0,0,0,0,0,0,0,0,14.084507042253522,0,0,0,0,0,6.995884773662551,0,10.511756569847856,0,0,0,3.325942350332594,12.460401267159451,0,0,0,0,0,0,0,30.71512309495897,6.141732283464567,0,0,8.862275449101796,0,0,12.089201877934272,,36.45839268804871
Noun,0,0,0,0,0,97.51131221719459,0,0,67.32394366197184,52.95404814004377,5.925925925925926,1.1002444987775062,38.944365192582026,6.888888888888889,10.905349794238683,55.585831062670295,0.6915629322268326,73.0641958967571,71.74479166666667,2.4242424242424248,14.412416851441241,64.73072861668426,1.6731016731016732,59.84095427435387,5.756358768406962,0,2.1132075471698117,85.93023255813952,6.891385767790263,2.9308323563892142,3.543307086614173,9.553478712357217,17.796610169491526,4.550898203592815,8.445040214477212,15.004574565416284,7.15962441314554,,22.547966588067023
Other,0,0,0,0,0,2.0361990950226243,0,0,0,0,0,0,0.7132667617689016,0.4444444444444444,0,0,0,2.71343481138319,0,0,0,3.062302006335797,0,0,0,14.71004243281471,0,0,1.0486891385767791,0.3516998827667058,0.7086614173228346,0.6230529595015576,0,0,0,0,0,,57.09288482231688
Preposition,100.0,0,0,99.22928709055877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.333333333333334,0,0,0,0,82.1954484605087,0,78.71698113207547,0,8.014981273408239,0,0.7086614173228346,2.1806853582554515,0,0.8383233532934131,0,0.36596523330283626,75.70422535211267,,40.29510783792159
Pronoun,0,0,0,0,95.06493506493506,0,0,0,0,22.75711159737418,0,97.06601466992664,0,0,0,0,81.60442600276625,0,0,0,1.7738359201773837,0,56.113256113256114,1.7892644135188867,0.2677376171352075,81.8953323903819,0,0,10.112359550561797,0,0.23622047244094488,0,28.329297820823246,0,0,0.36596523330283626,0,,36.93261016467761
Verb,0,0,0,0.7707129094412332,0,0.4524886877828055,0,94.98997995991985,5.211267605633803,17.5054704595186,56.54320987654321,0,5.706134094151213,48.666666666666664,76.54320987654322,6.8119891008174385,0,1.786896095301125,2.9947916666666665,75.63636363636364,53.215077605321504,3.9070749736008445,0.6435006435006435,0.5964214711729622,0,0.4243281471004243,11.773584905660378,4.534883720930233,2.99625468164794,19.929660023446655,84.48818897637796,85.66978193146419,49.031476997578686,56.287425149700596,2.4128686327077746,26.715462031107045,3.403755868544601,,23.20669196674494

Focus,100.0,100.0,100.0,99.1466109405063,94.64375746751973,97.25571598789531,100.0,100.0,71.69034705667265,56.16404274095619,61.467547657410236,96.76078376477314,45.97988084286677,60.520037983378295,79.97647625354554,60.51568526293386,80.40287501163691,74.17820681710306,72.9427834735301,83.19394234470239,56.61974867633148,65.85730047081894,95.63925238747085,61.8134933086518,81.3292493306734,82.77300708564087,78.09182404187092,87.73367726791041,52.630190973035795,45.18269880083711,84.27654520566873,85.18159297245185,53.92503454893911,57.99822968797269,56.76883315725008,42.361151072431994,74.51503212280171

