Class,to,CLASS71,CLASS2404,CLASS2481,CLASS2524,CLASS2526,CLASS2556,CLASS2583,CLASS2584,CLASS2600,CLASS2605,CLASS2607,CLASS2608,CLASS2609,CLASS2613,CLASS2614,CLASS2615,CLASS2620,CLASS2621,CLASS2622,CLASS2623,CLASS2624,CLASS2625,CLASS2627,CLASS2628,CLASS2629,CLASS2631,CLASS2632,CLASS2633,CLASS2635,CLASS2636,,Focus
NN,0,0,0,0,0.3826530612244898,0,0.35778175313059035,1.1002444987775062,8.482871125611746,11.12531969309463,1.714898177920686,47.2318339100346,0,63.326653306613224,0,49.80988593155893,5.926430517711172,7.038123167155426,4.297994269340974,4.754358161648177,6.476683937823833,28.013977868375072,23.730964467005077,2.0774315391879132,64.3603133159269,42.573402417962,0,5.36964980544747,6.8201948627103635,33.99581589958159,4.3565954013715205,,26.157989741815246
NNP,0,0,0,0,1.0204081632653061,0,0.7155635062611807,0,8.156606851549755,0.2557544757033248,0,3.8062283737024223,0,2.404809619238477,0,1.3307984790874523,11.78474114441417,0.5865102639296188,2.005730659025788,0.31695721077654515,0.9067357512953367,36.400698893418756,5.203045685279188,0.4721435316336166,1.6971279373368149,1.7271157167530224,0.9640666082383873,0.622568093385214,39.5925597874225,21.443514644351463,0.645421540943929,,39.001195941726834
NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23296447291788003,0,0,0,0,0,0,0,0,0.08067769261799113,,77.79065313661576
NNS,0,0,0,0,1.0204081632653061,0,0,0,10.60358890701468,0.2557544757033248,0.3215434083601286,2.422145328719723,0,11.22244488977956,0,5.323193916349809,0.6130790190735695,1.5640273704789833,0.6685768863419294,0.4754358161648178,0.7772020725388601,14.327315084449621,13.83248730964467,0.18885741265344666,20.887728459530024,1.8134715025906734,0,0.311284046692607,0.2657218777679362,8.786610878661087,1.6942315449778138,,31.117185589290447
PRP,0,0,0,0,0,0,0,97.06601466992664,17.29200652528548,0,56.69882100750267,0,10.619469026548673,0,0,0,0,0,0.7640878701050621,0,0,0,19.035532994923855,0,0,0,70.28921998247152,0,0,0,0.08067769261799113,,47.252275879460306
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,73.19848293299621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7003891050583658,0,0,0,,99.02517138009428
RB,0,0,0,0,0.3826530612244898,0,1.7889087656529516,0,1.468189233278956,20.588235294117645,0,14.359861591695502,0,1.6032064128256511,26.156583629893237,1.1406844106463878,24.250681198910083,22.971652003910066,3.151862464183381,0.31695721077654515,0.9067357512953367,1.10658124635993,4.822335025380711,3.3050047214353167,1.0443864229765014,22.625215889464595,0,12.918287937743193,32.41806908768822,0.8368200836820083,1.4521984671238404,,27.58362724982731
RBR,0,0,0,0,0,0,0,0,0,0.2557544757033248,0,0,0,0,0,0,0,0,0,0,0,0,0.25380710659898476,0,0,0,0,0,0,0,0,,69.52272141382284
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7110266159695817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.433460076045627,0,0,0,0,0,0,0,0,0,0,0,21.556420233463037,0,0,0,,69.53694747538056
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9536784741144414,0,0,0,0,0,0,0,0,0,0,0,0.44286979627989376,0,0,,74.32732599227066
VB,0,0,0.3597122302158274,0,0.3826530612244898,0,0.7155635062611807,0,45.02446982055465,0.3836317135549872,0,0,0,0.6012024048096193,0,0.7604562737642585,1.1580381471389645,1.6617790811339197,26.456542502387776,0,74.35233160621762,0.23296447291788003,1.7766497461928936,0.3777148253068933,0,0.2590673575129534,0.43821209465381245,0.4669260700389105,0,0.9414225941422595,0.4840661557079467,,56.03074978710134
VBD,0,0,0,0,78.57142857142857,0,1.6100178890876566,0,0.6525285481239804,0.7672634271099744,0,4.1522491349480966,0,0,0,0.5703422053231939,0.6130790190735695,8.308895405669599,3.0563514804202483,0,9.196891191709843,0.5824111822947,2.66497461928934,1.3220018885741265,0.39164490861618795,7.9447322970639025,0,2.4124513618677046,0.1771479185119575,1.4644351464435146,67.89027833803954,,52.4610652780112
VBG,0,0,0.3597122302158274,0,1.7857142857142856,0,4.83005366726297,0,0.9787928221859705,0.5115089514066496,1.1789924973204717,6.228373702422145,0.37926675094816686,1.2024048096192386,0.5338078291814947,0,1.7029972752043598,27.76148582600195,1.6236867239732569,0,3.8860103626943006,0.64065230052417,15.355329949238577,3.3050047214353167,1.0443864229765014,1.2953367875647668,0,2.490272373540856,0.354295837023915,1.778242677824268,5.486083098023396,,36.382220719131546
VBN,0,0,0,0,0,0,0.35778175313059035,0,0.8156606851549755,1.4066496163682864,0,5.709342560553633,0,3.406813627254509,0,1.7110266159695817,0.4768392370572207,13.78299120234604,2.387774594078319,0,1.5544041450777202,0.4076878276062901,1.903553299492386,0.3777148253068933,0,0.17271157167530224,0,10.116731517509727,1.0628875110717448,0.3138075313807531,1.4925373134328357,,36.182439508316335
VBP,0,0,0,0,0,0,0,0,1.631321370309951,0,0,0.8650519031141869,0,0.4008016032064128,0.5338078291814947,0,0,2.834799608993157,34.00191021967526,0,0.38860103626943004,0.17472335468841002,0,0.18885741265344666,0,0,0,0,0.1771479185119575,0,0.8067769261799113,,80.70220823019403
VBZ,0,0,0,0,0,0,0.7155635062611807,0,0,0,0,1.0380622837370241,0,1.002004008016032,0,0,0.13623978201634876,3.714565004887586,0,0,0.2590673575129534,0.11648223645894001,0.5076142131979695,0.3777148253068933,1.4360313315926894,0.4317789291882556,0,0,0.354295837023915,0,7.220653489310205,,46.14190766995117
WDT,0,0,0,0,0,0,0,0,0,0,5.359056806002144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3454231433506045,0,0,0,0,0,,93.93801056543629
WP,0,0,0,0,0,0,0,0,0,0,6.538049303322616,0,0,0,0,0,9.196185286103542,0,0,0.31695721077654515,0,0,0,0,0,0,0,0,0,0,0,,69.11600522232631
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12101653892698667,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.896457765667575,0,0,0,0,0,0,0,0,0.17271157167530224,0,0,0,0,0,,98.73911430046145

Focus,100.0,100.0,99.26239805187286,100.0,86.94372311919383,95.45283922273067,79.9456148663345,97.00969653363065,50.247818596595096,66.92034569397529,59.91697044393894,51.35266207582263,75.54728015915857,66.14486662502479,71.50418264882686,56.618489884693766,34.840103044459696,39.64243607753301,45.03428126097438,93.40727442927813,74.75797766873353,49.685841688643514,36.80366150869471,64.28833661440348,68.91809804265773,51.609764079029866,98.0020370471393,42.99205770351836,51.60870821712575,47.093056132080285,69.22502428366487

Adjective,0,0,0,0,0.25510204081632654,0,8.586762075134168,0,2.4469820554649266,62.14833759590793,0,10.899653979238755,0,5.61122244488978,0,11.596958174904943,0.544959128065395,4.398826979472141,4.393505253104107,0.31695721077654515,0.5181347150259068,10.13395457192778,4.695431472081219,5.09915014164306,6.396866840731071,17.443868739205527,0,7.54863813229572,8.591674047829938,24.372384937238493,0.44372730939895116,,33.70470472633508
Adverb,0,0,0,0,0.3826530612244898,0,1.7889087656529516,0,1.468189233278956,20.84398976982097,0,14.359861591695502,0,1.6032064128256511,26.156583629893237,2.8517110266159698,38.14713896457766,22.971652003910066,3.151862464183381,0.31695721077654515,0.9067357512953367,1.10658124635993,5.0761421319796955,3.3050047214353167,1.0443864229765014,22.797927461139896,0,12.918287937743193,32.41806908768822,0.8368200836820083,1.4521984671238404,,28.2904516141461
Conjunction,0,99.77142857142857,0,0,1.403061224489796,4.526987811955891,0,0,0,0,0,0,0,0,0,0,11.920980926430518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,84.99668551823795
Determiner,0,0,0,100.0,0,95.35693557748114,0,1.8337408312958436,0,0,25.40192926045016,0,1.1378002528445006,0,0,0,0.7493188010899182,0,0,0,0,0,0,21.0576015108593,0,0.3454231433506045,0,0,8.060230292294065,0,1.1294876966518759,,53.69674872359982
GrammarOther,0,0,0,0,0,0,0,0,0,0,8.145766345123258,0,0,0,46.619217081850536,22.433460076045627,0,1.466275659824047,3.2473734479465137,0,0,0,0,0,0,0,0,21.556420233463037,0,0,3.146430012101654,,51.02183571821064
Noun,0,0,0,0,2.423469387755102,0,1.073345259391771,1.1002444987775062,27.24306688417618,11.63682864450128,2.0364415862808145,53.46020761245675,0,76.95390781563125,0,56.463878326996195,18.32425068119891,9.188660801564028,6.9723018147086915,5.54675118858954,8.16062176165803,78.97495631916134,42.766497461928935,2.7384324834749765,86.94516971279374,46.11398963730569,0.9640666082383873,6.303501945525292,46.678476527900806,64.22594142259413,6.776926179911255,,23.447038443939512
Other,0,0,0,0,0.7653061224489796,0,0,0,0,0,0,0.34602076124567477,13.147914032869783,5.811623246492986,0,0,0.9536784741144414,0,0,0,0,2.3878858474082705,1.1421319796954315,0,0,0,0,0,1.2400354295837026,0.3138075313807531,0,,54.35739419036151
Preposition,100.0,0,99.28057553956835,0,4.209183673469387,0,77.99642218246869,0,0,0,0,0,0,0,0,0,13.147138964577657,0,8.500477554918815,92.86846275752774,0.5181347150259068,0.29120559114735,0.5076142131979695,61.095372993389994,0,0.2590673575129534,0,35.3307392996109,0,0,1.4521984671238404,,36.640300803473494
Pronoun,0,0,0,0,0,0,0,97.06601466992664,17.29200652528548,0,63.23687031082529,0,83.81795195954489,0,0,0,9.196185286103542,0,0.7640878701050621,0.31695721077654515,0,0,19.035532994923855,0,0,0,70.28921998247152,0.7003891050583658,0,0,0.2016942315449778,,41.57369931115289
