Class,to,and,CLASS2477,CLASS2571,CLASS2574,CLASS2588,CLASS2592,CLASS2594,CLASS2599,CLASS2607,CLASS2609,CLASS2612,CLASS2614,CLASS2616,CLASS2618,CLASS2621,CLASS2625,CLASS2626,CLASS2627,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2635,CLASS2636,CLASS2637,CLASS2638,CLASS2639,,Focus
WRB,0,0,0,0,0,0,0,0,0,23.97058823529412,0,0,5.84045584045584,0,0,0,0,0,0,0.1350438892640108,0,0,0,0,0,0,0,0,,81.66360714814817

Focus,100.0,100.0,100.0,79.00551233428853,59.17887337263361,70.4988356397984,82.80286004825477,69.49613203132418,49.651185236992035,45.67691828793455,93.96538771085548,66.65473336756779,41.97046464533772,48.67194707545946,93.22941341615994,59.01065808794249,68.03114707560084,75.74677936099434,50.75117139785225,42.596055982382744,39.35422901463295,58.602976948536956,46.01781289666806,37.103406122167385,69.69389635808248,67.55367855005984,67.75898756343815,93.31236532777086

Adjective,0,0,0,6.134094151212553,5.535055350553506,64.82861400894187,0,25.86705202312139,20.20860495436767,0.29411764705882354,0.4620123203285421,9.029126213592233,4.131054131054131,0,0.31007751937984496,6.483790523690773,5.502645502645503,0,15.458207452165157,2.2957461174881835,4.541326067211625,7.351460221550856,1.4767932489451476,3.3533533533533535,4.582951420714941,0.7598784194528876,1.4785992217898831,0,,36.27788462098505
Adverb,0,0,0,1.7118402282453637,3.136531365313653,23.248882265275707,0,1.7341040462427744,14.08083441981747,50.58823529411765,0,14.660194174757283,7.834757834757834,20.03081664098613,0.31007751937984496,4.364089775561098,0.8465608465608466,0.2285714285714286,1.0574018126888218,12.018906144496961,27.974568574023618,2.3162134944612287,11.040787623066104,22.22222222222222,1.6498625114573784,0.1519756838905775,1.245136186770428,0,,28.20992171371473
Conjunction,0,100.0,0,0,0,0,0,0,0,25.147058823529413,4.004106776180698,0,0.5698005698005698,1.694915254237288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,77.62541812248541
Determiner,0,0,100.0,0,0,0,1.3975155279503106,0,0,0,93.94250513347022,0,12.962962962962962,6.00924499229584,0,27.805486284289277,0,7.428571428571429,0.2014098690835851,0,0,0,0,0,0,0,0,0,,54.143553551914856
GrammarOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.685714285714285,0,19.9864956110736,1.3623978201634876,11.88318227593152,19.479606188466946,0,3.5747021081576533,0,0,0,,45.94915369647276
Noun,0,0,0,1.5691868758915835,76.75276752767527,5.067064083457526,0,68.4971098265896,55.28031290743155,2.5,0.9240246406570842,7.475728155339806,21.225071225071225,5.701078582434516,5.736434108527132,3.9900249376558605,86.87830687830687,0.5714285714285714,74.42094662638469,3.9837947332883186,8.900999091734787,66.36455186304127,4.9929676511954995,46.5965965965966,5.0870760769935846,1.1398176291793312,14.007782101167315,0.3676470588235294,,27.036944709985168
Other,0,0,0,0,0,0,16.149068322981368,0,0,0,0,1.3592233009708738,0,0,0,0,0,0,2.0644511581067473,0.2025658338960162,0,2.920443101711984,0,1.1511511511511512,0.09165902841429881,0,0.4669260700389105,0,,66.72957017808197
Preposition,100.0,0,0,78.45934379457917,0,0,0,0,1.1734028683181226,17.794117647058822,0,0.1941747572815534,0,37.750385208012325,92.71317829457364,52.7431421446384,0,0,0,0,0,0,39.943741209563996,0,0.32080659945004586,39.13373860182371,0.311284046692607,0,,34.842654907641396
Pronoun,0,0,0,0,0,0,80.12422360248446,0,0,0,0,64.36893203883494,19.230769230769234,0.30816640986132515,0.31007751937984496,0,0,82.4,0.4531722054380665,0.5401755570560433,0,0,0,5.455455455455455,0,0,8.249027237354085,91.26838235294117,,42.53966053283923
Verb,0,0,0,11.269614835948646,5.904059040590405,3.427719821162444,0.4658385093167702,2.4566473988439306,6.6492829204693615,2.5,0.5646817248459959,1.5533980582524272,0.7122507122507122,16.332819722650232,0,4.114713216957606,3.386243386243386,0.6857142857142857,2.3162134944612287,46.52261985145172,53.950953678474114,5.53877139979859,22.292545710267227,18.16816816816817,82.67644362969753,56.99088145896656,72.91828793774317,0,,30.111422155393818

Focus,100.0,100.0,100.0,77.71449328629781,82.68485569944406,67.70915280750309,81.23383408953815,70.9352852542252,56.856362781876314,53.800948654179834,93.45705253897553,63.46355471818277,39.471543875955675,44.79929135144288,92.71795884205366,54.62592411812511,89.01745369601807,81.11195476838915,76.62704502306865,55.07307901968318,58.27033152027808,66.66707612155324,42.97219924438509,49.79747596340556,82.89703312007114,66.33746562696547,72.54242180016885,99.55501665192294

