Class,a,CLASS1358,CLASS2140,CLASS2276,CLASS2383,CLASS2425,CLASS2492,CLASS2502,CLASS2549,CLASS2552,CLASS2571,CLASS2572,CLASS2573,CLASS2575,CLASS2581,CLASS2588,CLASS2593,CLASS2596,CLASS2597,CLASS2599,CLASS2600,CLASS2602,CLASS2606,CLASS2607,CLASS2608,CLASS2610,CLASS2611,CLASS2613,CLASS2614,CLASS2615,CLASS2617,CLASS2618,CLASS2619,CLASS2620,CLASS2621,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627
NNP,0,0,0,0.3508771929824561,0,0.9302325581395349,83.76623376623377,0.4942339373970346,10.224438902743142,1.2594458438287155,0.2688172043010753,17.391304347826086,0,0,0.4889975550122249,0.9578544061302682,2.6124818577648767,11.519607843137255,3.1055900621118013,0.3821656050955414,3.3333333333333335,14.164004259850904,13.314447592067987,0.30075187969924816,0.9708737864077669,14.301929625425652,0.5516154452324665,1.7326732673267329,0,7.5,0.7052186177715092,0.995575221238938,28.22502424830262,0.8148148148148148,0,3.659849300322928,7.151979565772669,12.267657992565056,1.1612903225806452,0
NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21299254526091588,0.28328611898017,0,0,0,0,0.24752475247524752,0,0,0,0,0,0,0,0,0,0,0,0
NNS,0,0.1212856276531231,1.0309278350515463,0.3508771929824561,0.2590673575129534,0,1.2987012987012987,0.9884678747940692,0,0,0.6720430107526881,5.68561872909699,0.9732360097323601,0,2.689486552567237,5.938697318007663,5.2249637155297535,3.431372549019608,0.6211180124223602,0.7643312101910829,8.0,8.519701810436635,10.48158640226629,0.6015037593984963,5.547850208044383,8.51305334846765,0.15760441292356187,4.579207920792079,0.3616636528028933,12.272727272727273,1.9746121297602257,1.4380530973451326,6.886517943743938,0.962962962962963,0.8633093525179856,6.996770721205597,0.7662835249042145,3.9962825278810405,2.838709677419355,0.6067961165048543
PRP,0,0,0,95.08771929824562,0,0,0,0,7.73067331670823,0,87.36559139784946,0,0,0,0,17.049808429118773,0,0,27.12215320910973,0,0,0,0,0,0.27739251040221913,0,0,0,0,0,0,15.81858407079646,1.454898157129001,5.407407407407407,1.2949640287769784,0,0,0,2.4516129032258065,93.56796116504854
PRP$,0,0,0,0,0,0,0,0,15.710723192019952,0,7.123655913978495,0,89.05109489051095,2.4128686327077746,0,18.582375478927204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB,0,0,0,3.1578947368421053,0,1.627906976744186,6.277056277056277,0,3.4912718204488775,6.045340050377834,0.4032258064516129,26.254180602006688,0,3.753351206434316,5.134474327628362,3.8314176245210727,13.642960812772134,20.098039215686274,9.109730848861282,1.1464968152866242,3.5555555555555554,2.6624068157614484,3.5410764872521248,22.706766917293233,4.715672676837725,4.426787741203178,2.52167060677699,19.43069306930693,0,13.522727272727272,1.4104372355430184,6.1946902654867255,2.2308438409311346,8.296296296296296,22.302158273381295,31.10871905274489,3.8314176245210727,8.085501858736059,8.903225806451614,0.3640776699029126
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19398642095053348,0,0,0,0.1277139208173691,0,0,0
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2747875354107647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.850855745721272,0,0,0,0,13.121019108280255,0,0,0,0,13.869625520110956,0,5.831363278171789,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,0,0,0,94.55958549222798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
