Class,the,and,CLASS63,CLASS1269,CLASS2232,CLASS2380,CLASS2479,CLASS2521,CLASS2537,CLASS2562,CLASS2563,CLASS2567,CLASS2571,CLASS2573,CLASS2575,CLASS2583,CLASS2585,CLASS2589,CLASS2590,CLASS2591,CLASS2598,CLASS2600,CLASS2602,CLASS2604,CLASS2605,CLASS2606,CLASS2608,CLASS2610,CLASS2612,CLASS2615,CLASS2616,CLASS2617,CLASS2618,CLASS2620,CLASS2621,CLASS2622,CLASS2624,CLASS2625,CLASS2626,CLASS2627
TO,0,0,99.72677595628416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,1.050420168067227,0,0,0,0,0,0,3.070175438596491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,0,0,0,0.3853564547206166,0,0,0,1.2605042016806722,44.827586206896555,0,0,2.9213483146067416,0,0,0,0,0,3.4782608695652173,35.91905564924115,0.7153075822603719,2.810304449648712,0,0.36101083032490977,1.465201465201465,0,0,0,0,0.49261083743842365,0.6435006435006435,60.131332082551594,1.2435991221653255,0.6504065040650406,1.03397341211226,0,0,6.221198156682028,0.7363770250368188,0,0.7566204287515763
VBD,0,0,0,0,0,0,0,4.201680672268908,1.293103448275862,92.11538461538461,1.1594202898550725,25.168539325842698,0,0.7889546351084813,0,0.583941605839416,0,5.797101449275362,2.5295109612141653,2.7181688125894135,3.51288056206089,0.37641154328732745,74.12755716004813,0.3663003663003663,0,1.9646365422396856,1.6920473773265652,0,0,0,1.7823639774859286,0,2.4390243902439024,16.248153618906944,0,0.3616636528028933,1.2672811059907834,51.03092783505154,0,64.56494325346785
VBG,0,0,0,0.3853564547206166,0,0.4524886877828055,0,2.941176470588235,0,0,2.608695652173913,13.93258426966292,3.1428571428571432,11.834319526627219,0.8771929824561403,0.7299270072992701,0,22.608695652173914,2.1922428330522767,1.859799713876967,8.430913348946136,1.7565872020075282,0.601684717208183,1.8315018315018317,0.9022556390977444,0.68762278978389,29.103214890016922,0.37926675094816686,0,0,3.8461538461538463,0.6583760058522311,7.560975609756097,3.5450516986706058,0,0.45207956600361665,0.3456221198156682,1.4727540500736376,0,15.258511979823455
VBN,0,0,0,0,0,0,0,8.823529411764707,1.0775862068965518,0,0.5797101449275363,6.51685393258427,0,1.9723865877712032,1.5350877192982455,1.6058394160583942,0,1.4492753623188406,1.5177065767284992,1.4306151645207439,0,0,0,1.3431013431013432,2.706766917293233,0.3929273084479371,19.627749576988155,0,0,0,0.7504690431519699,0,1.6260162601626018,1.9202363367799113,0,0.3616636528028933,0,8.394698085419734,0.1509433962264151,4.03530895334174
VBP,0,0,0,0,0,0,0,0.42016806722689076,2.1551724137931036,2.1153846153846154,0,6.51685393258427,0,0,0,0,0,0,41.8212478920742,0,1.873536299765808,0,0.36101083032490977,0,0.30075187969924816,0.19646365422396855,0,0,0,0,0.5628517823639775,0,0.6504065040650406,0.4431314623338257,0,0.27124773960216997,11.29032258064516,0,0,0.25220680958385877
VBZ,0,0,0,0,0,0,0,0.42016806722689076,0,0.38461538461538464,0,2.4719101123595504,0,0.7889546351084813,0,0,0,1.1594202898550725,0,0.28612303290414876,0.936768149882904,1.3801756587202008,0,0.6105006105006106,0,0,0.8460236886632826,0,0,0,0,0,0.3252032520325203,1.6248153618906942,0,0,0,14.138438880706921,0.3018867924528302,0.6305170239596469
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5908419497784343,0,0,0,0,3.7735849056603774,0
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.02194586686174,0,0,0,0,0,0,4.60377358490566,0
