Class,to,you,CLASS75,CLASS2386,CLASS2407,CLASS2473,CLASS2500,CLASS2550,CLASS2561,CLASS2570,CLASS2572,CLASS2576,CLASS2581,CLASS2583,CLASS2585,CLASS2591,CLASS2595,CLASS2596,CLASS2597,CLASS2598,CLASS2599,CLASS2600,CLASS2601,CLASS2602,CLASS2603,CLASS2604,CLASS2608,CLASS2611,CLASS2614,CLASS2615,CLASS2617,CLASS2618,CLASS2619,CLASS2620,CLASS2622,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,,Focus
VBD,0,0,0,0,0,0,0,1.8148820326678767,0.6479481641468683,74.94646680942184,2.9850746268656714,0,0,1.08991825613079,0,15.0093808630394,3.325688073394496,0,2.658486707566462,0,0,10.514786418400876,2.6548672566371683,7.451923076923077,0,75.49019607843137,0,0,0.4975124378109453,56.236323851203494,0,4.170616113744076,0.20345879959308238,12.625538020086083,70.15902712815716,0,1.6408386508659982,0.4464285714285714,0,0.8281573498964804,,38.262582148171184
VBG,0,0,0,0.45977011494252873,0.35842293906810035,0,0,1.6333938294010888,0,4.068522483940043,0.7462686567164178,0,0,0,1.9780219780219779,19.136960600375236,3.096330275229358,0,1.4314928425357873,0,0.7692307692307693,1.2048192771084338,1.415929203539823,3.245192307692308,0.6818181818181818,1.5931372549019607,0,0.24509803921568626,1.3266998341625207,7.11159737417943,0.4639175257731959,19.0521327014218,1.5259409969481181,23.242467718794835,1.3096351730589337,2.1505376344086025,8.933454876937102,0.5580357142857143,0.33140016570008285,0.13802622498274672,,32.033365360900916
VBN,0,0,0,0,0,0,0,1.2704174228675136,1.9438444924406046,0.8565310492505354,0.3731343283582089,0,0,1.3623978201634876,0,4.878048780487805,3.555045871559633,0,0.408997955010225,0,0,0.7667031763417306,1.238938053097345,0.9615384615384616,0,0,0,0,2.4875621890547266,3.282275711159737,0,15.639810426540285,1.627670396744659,14.060258249641318,0,0.9408602150537635,1.367365542388332,1.2276785714285714,0,0.4830917874396135,,35.67055937017166
VBP,0,0,0,0,0,0,0,0.3629764065335753,0,0,1.1194029850746268,0.48661800486618007,0,0,0,0.7504690431519699,0,0,29.65235173824131,0,0,0,35.2212389380531,0.8413461538461539,0.6818181818181818,0,0,0.3676470588235294,0.33167495854063017,1.8599562363238513,0,0,0.40691759918616477,4.160688665710186,0.5612722170252572,0.4032258064516129,0,0,0,0.2070393374741201,,58.43182567076347
VBZ,0,0,0,0,0,0,0,0,0,2.9978586723768736,1.6791044776119404,0,0,0,0,1.125703564727955,0,0,0,0,0,0.7667031763417306,0.35398230088495575,0,0,0,0,0.49019607843137253,0,0.6564551422319475,0,0.2843601895734597,0,4.447632711621234,14.780168381665106,2.28494623655914,0.3646308113035551,0,0,0.3450655624568668,,50.76008655794679
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.915629322268327,0,0.43811610076670315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,94.07821930586898
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.437067773167358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.350455675227836,0,,70.59010342717784
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32858707557502737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.076923076923077,0,0,0,0,0,0,0.21905805038335158,0,0,0,0,0,5.0245098039215685,0,0,0,0,0,0,0,0,0,0,12.344656172328087,0,,65.10305426303343

