Class,CLASS756,CLASS792,CLASS808,CLASS892,CLASS997,CLASS1085,CLASS1988,CLASS2063,CLASS2073,CLASS2207,CLASS2215,CLASS2220,CLASS2265,CLASS2268,CLASS2333,CLASS2353,CLASS2385,CLASS2387,CLASS2409,CLASS2421,CLASS2425,CLASS2428,CLASS2429,CLASS2434,CLASS2436,CLASS2437,CLASS2443,CLASS2449,CLASS2453,CLASS2454,CLASS2458,CLASS2460,CLASS2461,CLASS2466,CLASS2467,CLASS2468,CLASS2479,CLASS2480,CLASS2482,CLASS2483,CLASS2484,CLASS2488,CLASS2489,CLASS2491,CLASS2492,CLASS2493,CLASS2494,CLASS2499,CLASS2500,CLASS2501,CLASS2502,CLASS2503,CLASS2506,CLASS2507,CLASS2509,CLASS2512,CLASS2513,CLASS2514,CLASS2515,CLASS2516,CLASS2518,CLASS2521,CLASS2522,CLASS2523,CLASS2524,CLASS2526,CLASS2527,CLASS2528,CLASS2530,CLASS2531,CLASS2532,CLASS2533,CLASS2535,CLASS2536,CLASS2537,CLASS2538,CLASS2539,CLASS2540,CLASS2544,CLASS2545,CLASS2546,CLASS2549,CLASS2550,CLASS2551,CLASS2552,CLASS2553,CLASS2554,CLASS2555,CLASS2556,CLASS2557,CLASS2558,CLASS2559,CLASS2560,CLASS2561,CLASS2562,CLASS2563,CLASS2564,CLASS2565,CLASS2566,CLASS2567
NN,0,0.904977375565611,0,0.12070006035003018,2.027027027027027,0.2702702702702703,9.558823529411764,0,0,2.9197080291970803,6.9364161849710975,2.2172949002217295,0.37174721189591076,0.35398230088495575,8.666666666666668,0,0,0,1.532567049808429,0,11.464968152866243,33.90804597701149,55.55555555555556,30.82706766917293,1.4705882352941175,13.793103448275861,30.201342281879196,52.87356321839081,2.030456852791878,28.780487804878046,0,60.0,27.77777777777778,5.263157894736842,0,0,66.11111111111111,3.571428571428571,42.56055363321799,0,8.38709677419355,3.015075376884422,7.471264367816093,37.3134328358209,3.9301310043668125,38.11659192825112,29.078014184397162,3.880070546737213,5.990783410138248,1.7964071856287425,17.73049645390071,12.041884816753926,12.5,58.139534883720934,0.9892827699917559,29.94011976047904,4.09556313993174,0.6578947368421052,28.971962616822427,1.384083044982699,63.31360946745562,0.9615384615384616,10.8,1.1976047904191618,2.0,8.108108108108109,1.098901098901099,33.165829145728644,24.124513618677042,16.88888888888889,7.028112449799197,0.3597122302158274,28.9198606271777,0.6896551724137931,35.38461538461539,7.9470198675496695,48.01980198019802,0,13.620071684587815,4.142011834319527,0.8163265306122449,34.24657534246575,14.418604651162791,35.07246376811594,35.47486033519553,42.71844660194174,36.59305993690852,29.457364341085274,4.332129963898916,32.52279635258359,17.579908675799086,3.149606299212598,6.923076923076923,6.185567010309279,26.633165829145728,3.6619718309859155,8.04953560371517,0.6153846153846154,6.5375302663438255,15.867158671586715
NNP,0,0,0,0.12070006035003018,0,0,0,0,0,0,0,1.1086474501108647,0,0,1.3333333333333335,1.2048192771084338,0,1.1976047904191618,0,0,1.2738853503184715,1.1494252873563218,0,0,1.4705882352941175,0,1.342281879194631,0,6.598984771573605,1.951219512195122,0,3.3333333333333335,0,0,0,3.821656050955414,0,0.8928571428571428,7.26643598615917,0,1.935483870967742,0,0,0,1.7467248908296942,10.31390134529148,0,0.7054673721340388,1.3824884792626728,0,31.20567375886525,0,39.81481481481482,1.1627906976744187,0.3297609233305853,7.18562874251497,0.6825938566552902,0,42.99065420560748,0.6920415224913495,2.0710059171597637,21.634615384615387,1.6,1.7964071856287425,0,1.6891891891891893,0,6.030150753768844,7.782101167315175,5.333333333333334,0,1.079136690647482,26.480836236933797,0,28.000000000000004,0,15.841584158415841,0,13.261648745519713,0.4437869822485207,0,43.49315068493151,0,8.985507246376812,10.335195530726256,3.2362459546925564,33.753943217665615,0,0,3.951367781155015,0.45662100456621,0.7874015748031495,77.84615384615384,0,15.577889447236181,0,3.0959752321981426,1.2307692307692308,15.738498789346247,7.380073800738007
NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591715976331361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684931506849315,0,0,0,0.6472491909385114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NNS,0,0,1.5037593984962405,0,0,0.6756756756756757,0,0,0,1.4598540145985401,0,0,0.929368029739777,0,0,0,1.006711409395973,6.58682634730539,0,0,0,31.03448275862069,4.761904761904762,0,0,0.8620689655172413,6.7114093959731544,19.54022988505747,0,0.975609756097561,0,1.3333333333333335,13.580246913580247,2.1052631578947367,0,1.2738853503184715,6.111111111111111,0.5357142857142857,2.0761245674740483,0,0,0,0,0,3.056768558951965,1.7937219730941705,2.127659574468085,0.3527336860670194,0,0,8.51063829787234,6.806282722513089,13.425925925925927,1.744186046511628,1.4014839241549877,8.383233532934131,3.4129692832764507,0.6578947368421052,2.803738317757009,0,12.1301775147929,4.807692307692308,0,2.3952095808383236,0,1.6891891891891893,3.296703296703297,17.587939698492463,17.898832684824903,7.111111111111111,0.8032128514056224,0,6.620209059233449,0,18.153846153846153,0,10.891089108910892,0.6472491909385114,0,0.2958579881656805,0.8163265306122449,5.136986301369863,3.255813953488372,17.971014492753625,9.497206703910614,3.8834951456310676,0.9463722397476341,17.05426356589147,3.2490974729241873,8.814589665653495,5.707762557077626,0.7874015748031495,0.9230769230769231,1.3745704467353952,4.0201005025125625,0.5633802816901409,0,2.769230769230769,1.4527845036319613,7.011070110701106
PRP,99.45652173913044,0,98.49624060150376,0,0,0,0,0,0,0,0,89.80044345898004,0,95.929203539823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.42131979695431,0,0,0,0,4.2105263157894735,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,23.036649214659686,3.2407407407407405,0,0,0,0,0,0,0,0,0,0,0,0,0,46.15384615384615,0,0,0,0,0,0,0,0,0,0,0,0.7168458781362007,78.2544378698225,0,0,33.95348837209302,0,0,5.501618122977346,0,4.263565891472868,0,0,0,0,0,0,0,0,32.19814241486068,0,0,0
PRP$,0,0,0,0,0,0,0,0,94.31818181818183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.633165829145728,0,0,0,0,0,0,0,0,100.0,0,31.65829145728643,33.90804597701149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0927835051546393,0,0,0,0,0,0
RB,0,0,0,0.12070006035003018,97.97297297297297,0,0,0,0,4.37956204379562,88.4393063583815,0,0,0,0,0,0,70.65868263473054,0,71.92118226600985,15.286624203821656,8.045977011494253,2.1164021164021163,3.007518796992481,0,14.655172413793101,19.463087248322147,0,1.015228426395939,0.975609756097561,4.522613065326634,9.333333333333334,22.22222222222222,3.1578947368421053,0,0,0,0.35714285714285715,4.1522491349480966,0,0,0,1.7241379310344827,11.194029850746269,27.074235807860266,4.484304932735426,1.4184397163120568,0,2.3041474654377883,1.1976047904191618,39.71631205673759,6.282722513089005,16.666666666666664,3.488372093023256,4.534212695795548,8.383233532934131,34.129692832764505,19.078947368421055,2.336448598130841,0,0.8875739644970414,2.403846153846154,27.6,1.7964071856287425,0,0.6756756756756757,1.6483516483516485,6.532663316582915,3.501945525291829,7.111111111111111,12.650602409638553,0.539568345323741,6.620209059233449,1.0344827586206897,8.923076923076923,0,5.445544554455446,0,11.11111111111111,9.467455621301776,19.591836734693878,2.73972602739726,40.0,2.898550724637681,18.994413407821227,7.766990291262135,1.8927444794952681,2.3255813953488373,2.527075812274368,3.343465045592705,2.054794520547945,5.511811023622047,1.0769230769230769,1.3745704467353952,4.522613065326634,12.676056338028168,2.786377708978328,1.5384615384615385,0,23.616236162361623
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6472491909385114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.522613065326634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,86.76470588235294,0,0,75.18248175182481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.78048780487805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.60553633217993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,0,0,0,0,98.64864864864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1065989847715745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7921146953405016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,0,0,0,0,0,0,0,0,0,0,0,1.1086474501108647,0.929368029739777,0,2.0,0,0,4.191616766467066,1.9157088122605364,0,12.738853503184714,0,1.0582010582010581,0,51.470588235294116,66.37931034482759,2.013422818791946,1.7241379310344827,9.644670050761421,0,0,1.3333333333333335,1.2345679012345678,21.578947368421055,98.52941176470588,12.738853503184714,1.1111111111111112,0,0,0,0,0,41.37931034482759,41.7910447761194,0,5.381165919282512,0,1.4109347442680775,6.912442396313365,34.13173652694611,0,3.664921465968586,0.9259259259259258,0,2.225886232481451,0,0,0,0.9345794392523363,0,2.366863905325444,0,0,0,0,1.3513513513513513,25.274725274725274,1.0050251256281406,0,6.222222222222222,0.4016064257028112,0,0.6968641114982579,4.137931034482759,1.2307692307692308,3.3112582781456954,0.9900990099009901,3.8834951456310676,7.885304659498208,0,8.16326530612245,0,0.9302325581395349,3.768115942028986,5.307262569832402,1.6181229773462782,1.5772870662460567,0,36.8231046931408,1.82370820668693,5.707762557077626,6.299212598425196,2.307692307692308,0,0.7537688442211055,0,29.102167182662537,2.769230769230769,0.9685230024213075,1.4760147601476015
VBD,0,0.904977375565611,0,0.12070006035003018,0,0,0,0.3091190108191654,0,0,3.4682080924855487,0,0,3.7168141592920354,0,1.2048192771084338,0.6711409395973155,4.191616766467066,85.44061302681992,0.9852216748768473,30.573248407643312,4.597701149425287,0,3.007518796992481,1.4705882352941175,0,6.7114093959731544,3.4482758620689653,1.015228426395939,4.878048780487805,0,1.3333333333333335,1.2345679012345678,8.947368421052632,1.4705882352941175,12.101910828025478,0,82.67857142857142,5.190311418685121,0,1.2903225806451613,2.512562814070352,1.1494252873563218,1.4925373134328357,3.4934497816593884,27.3542600896861,1.4184397163120568,74.25044091710758,0,0,0,26.17801047120419,2.314814814814815,4.069767441860465,8.98598516075845,0,3.754266211604096,0.9868421052631579,0,1.0380622837370241,2.0710059171597637,0,2.4,88.62275449101796,7.5,78.37837837837837,1.6483516483516485,2.0100502512562812,6.614785992217899,12.0,8.433734939759036,7.553956834532374,2.4390243902439024,1.3793103448275863,0.6153846153846154,2.6490066225165565,0.9900990099009901,1.2944983818770228,3.225806451612903,0.7396449704142012,0,3.4246575342465753,0.9302325581395349,2.0289855072463765,0.5586592178770949,0.9708737864077669,4.416403785488959,1.550387596899225,0,10.94224924012158,26.027397260273972,3.149606299212598,2.1538461538461537,3.0927835051546393,4.0201005025125625,24.507042253521128,10.526315789473683,38.76923076923077,18.159806295399516,5.166051660516605
VBG,0.5434782608695652,0,0,0.12070006035003018,0,0.40540540540540543,0,1.545595054095827,0,8.02919708029197,0,0,1.6728624535315983,0,8.666666666666668,0,0,5.389221556886228,1.532567049808429,1.9704433497536946,3.821656050955414,0,3.7037037037037033,0,1.4705882352941175,3.4482758620689653,4.697986577181208,1.7241379310344827,2.5380710659898478,1.4634146341463417,1.0050251256281406,2.666666666666667,2.4691358024691357,11.578947368421053,0,0,0,0,2.422145328719723,0,2.5806451612903225,3.5175879396984926,9.770114942528735,1.4925373134328357,2.6200873362445414,3.1390134529147984,22.69503546099291,1.763668430335097,0,0,1.4184397163120568,5.2356020942408374,4.166666666666666,1.1627906976744187,1.2366034624896949,7.18562874251497,14.675767918088736,0,2.803738317757009,0,2.6627218934911245,1.4423076923076923,7.6,0,1.0,3.040540540540541,2.197802197802198,0,5.447470817120623,25.333333333333336,4.618473895582329,0.3597122302158274,4.181184668989547,0.6896551724137931,0.9230769230769231,3.3112582781456954,10.396039603960396,1.9417475728155338,3.584229390681003,0.4437869822485207,0,1.36986301369863,1.8604651162790697,4.3478260869565215,3.35195530726257,12.62135922330097,6.624605678233439,1.1627906976744187,6.4981949458483745,6.68693009118541,1.36986301369863,0,0.7692307692307693,0,2.512562814070352,14.647887323943662,5.88235294117647,20.0,0.9685230024213075,2.952029520295203
VBN,0,0.904977375565611,0,0,0,0,0,0,0.7575757575757576,0,0,0,0,0,0,0,0,0,0,3.4482758620689653,2.547770700636943,0,12.698412698412698,0,30.14705882352941,0,5.369127516778524,1.7241379310344827,0,0,0,1.3333333333333335,12.345679012345679,1.0526315789473684,0,0,0,0.8928571428571428,1.384083044982699,0,5.806451612903226,0,0,1.4925373134328357,1.3100436681222707,2.242152466367713,0,0.3527336860670194,1.8433179723502304,0,0,3.1413612565445024,0,4.069767441860465,0.9068425391591096,0,0.6825938566552902,1.644736842105263,1.8691588785046727,2.0761245674740483,0,0,0.8,1.7964071856287425,0,1.6891891891891893,5.4945054945054945,0,7.392996108949417,3.111111111111111,1.4056224899598393,0.8992805755395683,2.4390243902439024,0,0,0,0.9900990099009901,0,0.7168458781362007,0,1.6326530612244898,2.3972602739726026,0,3.4782608695652173,1.3966480446927374,9.06148867313916,0.6309148264984227,7.751937984496124,5.776173285198556,6.382978723404255,1.36986301369863,0,0.3076923076923077,0,1.256281407035176,16.338028169014084,2.786377708978328,0,0,6.642066420664207
