Class,the,and,it,that,CLASS63,CLASS1269,CLASS2232,CLASS2380,CLASS2479,CLASS2486,CLASS2487,CLASS2521,CLASS2537,CLASS2541,CLASS2557,CLASS2558,CLASS2559,CLASS2561,CLASS2562,CLASS2563,CLASS2567,CLASS2571,CLASS2573,CLASS2574,CLASS2575,CLASS2576,CLASS2579,CLASS2580,CLASS2581,CLASS2583,CLASS2585,CLASS2589,CLASS2590,CLASS2591,CLASS2598,CLASS2600,CLASS2601,CLASS2602,CLASS2604,CLASS2605,CLASS2606,CLASS2607,CLASS2608,CLASS2610,CLASS2612,CLASS2613,CLASS2614,CLASS2615,CLASS2616,CLASS2617
PRP,0,0,100.0,0,0,0,95.06493506493506,0,0,0,0,0,22.844827586206897,0,0,0,0,0,0,0,1.7977528089887642,0,29.191321499013807,0,0,96.78832116788321,0,0,38.529411764705884,0,0,1.1594202898550725,0,0,0,0,0,0,0,0,0,0,0,10.619469026548673,0,0,0,56.113256113256114,0,0
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.19848293299621,0,0,0,0,0,0
RB,0,0,0,0,0,0,4.935064935064935,0,0,28.92857142857143,2.9197080291970803,35.714285714285715,1.9396551724137931,0,67.0,1.5873015873015872,5.764966740576496,5.283018867924529,0.576923076923077,1.4492753623188406,2.0224719101123596,10.0,0.39447731755424065,0,4.385964912280701,0,0,20.685111989459813,0.5882352941176471,1.313868613138686,0,7.536231884057972,1.1804384485666104,2.0028612303290414,0.468384074941452,1.0037641154328731,56.92695214105793,0.36101083032490977,1.465201465201465,6.917293233082707,1.768172888015717,30.37974683544304,32.82571912013537,0,24.958949096880133,0,0.41450777202072536,0,0.8442776735459663,24.433065106071687
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44943820224719105,0,0.39447731755424065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098901098901099,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.65413533834587,0,0,0,0,0,0,12.227979274611398,0,0,0
TO,0,0,0,0,99.72677595628416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,1.050420168067227,0,0,0,0,0,0,0,0,0,0,0,0,3.070175438596491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,0,0,0,0,0,0.3853564547206166,0,0,0,1.4285714285714286,0.7299270072992701,1.2605042016806722,44.827586206896555,1.1695906432748537,0,0,0.4434589800443459,1.509433962264151,0,0,2.9213483146067416,0,0,0,0,0,0,1.0540184453227932,0,0,0,3.4782608695652173,35.91905564924115,0.7153075822603719,2.810304449648712,0,0.7556675062972292,0.36101083032490977,1.465201465201465,0,0,9.764918625678119,0,0,0.49261083743842365,0,0.41450777202072536,0.6435006435006435,60.131332082551594,1.2435991221653255
VBD,0,0,0,0,0,0,0,0,0,36.78571428571429,15.328467153284672,4.201680672268908,1.293103448275862,63.1578947368421,0,0,65.6319290465632,6.7924528301886795,92.11538461538461,1.1594202898550725,25.168539325842698,0,0.7889546351084813,0,0,0,75.38461538461539,53.49143610013175,0,0.583941605839416,0,5.797101449275362,2.5295109612141653,2.7181688125894135,3.51288056206089,0.37641154328732745,1.7632241813602016,74.12755716004813,0.3663003663003663,0,1.9646365422396856,1.9891500904159132,1.6920473773265652,0,0,0.4889975550122249,1.2435233160621761,0,1.7823639774859286,0
VBG,0,0,0,0,0,0.3853564547206166,0,0.4524886877828055,0,2.857142857142857,1.824817518248175,2.941176470588235,0,9.941520467836257,0,0.9523809523809524,19.290465631929045,1.509433962264151,0,2.608695652173913,13.93258426966292,3.1428571428571432,11.834319526627219,0,0.8771929824561403,0,0,1.9762845849802373,0,0.7299270072992701,0,22.608695652173914,2.1922428330522767,1.859799713876967,8.430913348946136,1.7565872020075282,4.030226700251889,0.601684717208183,1.8315018315018317,0.9022556390977444,0.68762278978389,0,29.103214890016922,0.37926675094816686,0,0.6112469437652812,9.22279792746114,0,3.8461538461538463,0.6583760058522311
VBN,0,0,0,0,0,0,0,0,0,0,2.5547445255474455,8.823529411764707,1.0775862068965518,5.847953216374268,0.6666666666666667,0,2.6607538802660753,6.7924528301886795,0,0.5797101449275363,6.51685393258427,0,1.9723865877712032,0,1.5350877192982455,0,0,14.09749670619236,0,1.6058394160583942,0,1.4492753623188406,1.5177065767284992,1.4306151645207439,0,0,3.27455919395466,0,1.3431013431013432,2.706766917293233,0.3929273084479371,0,19.627749576988155,0,0,0.4889975550122249,0.20725388601036268,0,0.7504690431519699,0
VBP,0,0,0,0,0,0,0,0,0,0,0,0.42016806722689076,2.1551724137931036,0.5847953216374269,0,0.9523809523809524,0,2.2641509433962264,2.1153846153846154,0,6.51685393258427,0,0,0,0,0,0,0,0,0,0,0,41.8212478920742,0,1.873536299765808,0,0.7556675062972292,0.36101083032490977,0,0.30075187969924816,0.19646365422396855,17.17902350813743,0,0,0,0.36674816625916873,0.20725388601036268,0,0.5628517823639775,0
VBZ,0,0,0,0,0,0,0,0,0,1.7857142857142856,60.21897810218978,0.42016806722689076,0,1.461988304093567,1.3333333333333335,0,0,1.509433962264151,0.38461538461538464,0,2.4719101123595504,0,0.7889546351084813,0,0,0,0,3.557312252964427,0,0,0,1.1594202898550725,0,0.28612303290414876,0.936768149882904,1.3801756587202008,1.5113350125944585,0,0.6105006105006106,0,0,0,0.8460236886632826,0,0,0,0,0,0,0
WDT,0,0,0,0,0,0,0,0,0,1.4285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.705882352941178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
