Class,CLASS2593,CLASS2601,CLASS2618,CLASS2620,CLASS2625,CLASS2627,CLASS2629,CLASS2631,CLASS2633,CLASS2634,CLASS2637,CLASS2638,CLASS2639,CLASS2640,CLASS2643,CLASS2645,CLASS2646,CLASS2647,CLASS2648,,Focus
VBZ,0.24213075060532688,1.3664596273291925,2.7611044417767108,0.4,0,0,1.3114754098360655,0.4248088360237893,0,0.8037825059101654,0.13236267372600927,0,14.27304964539007,0,0.5807200929152149,0.18484288354898337,0,0,0.25806451612903225,,62.15189993164258
WDT,0,0,0,0,5.73394495412844,0,0,0,0,0.18912529550827423,0,0,0,0,0,0,0,0,0,,96.6821595681889
WP,0,0,0,0,6.9954128440366965,0,0,0,0,0,0,0,0,6.958762886597938,0,0.052812252442566675,0,0,0,,68.43014355575424
WP$,0,0,0,0,0,0,0.19672131147540983,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0.13236267372600927,0,0,10.515463917525773,0,0,0,0,0,,98.69564812815175

Focus,64.81927513547868,64.5537138735974,37.78987211376589,69.17483042047753,76.02416008303008,92.26086230182108,68.33413913264539,36.512490254948524,60.99513825900612,35.54210881275352,41.12523768414995,98.71951922105627,59.90253994588145,43.68513373645139,51.646394628434535,44.42266793656832,68.29802358619523,77.87268522091,58.489556742634555

Adjective,19.73365617433414,6.3354037267080745,10.684273709483794,9.1,0,0,0.6557377049180327,2.9736618521665252,8.487084870848708,4.491725768321513,3.044341495698213,0.15600624024961,0.1773049645390071,0.30927835051546393,1.1033681765389083,25.112226036440454,0,1.5772870662460567,3.5483870967741935,,31.335420277187794
Adverb,10.16949152542373,1.3664596273291925,27.971188475390157,20.5,0,0,3.1475409836065573,15.378079864061172,2.121771217712177,20.56737588652482,12.045003309066843,0,0.44326241134751776,28.144329896907216,0.9291521486643438,5.175600739371535,0.19023462270133165,1.0037281330656724,0.903225806451613,,28.75337931168831
Conjunction,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02061855670103,4.529616724738676,0,56.055802155992396,0,0,,80.69876801938145
Determiner,0,0,0,0,7.454128440366972,0,0,1.1045029736618521,0,1.4184397163120568,0,0,16.22340425531915,0,0,0.6073409030895167,0,76.31201605965013,0,,74.46588053544838
GrammarOther,0,0,1.800720288115246,0,8.715596330275229,0,5.114754098360655,23.53440951571793,10.885608856088561,0,19.589675711449374,0,0,0,0,0,0,0,0,,44.41159801399313
Noun,63.31719128329297,84.84472049689441,6.602641056422568,1.7,1.146788990825688,1.0475423045930703,6.163934426229509,11.639762107051828,68.54243542435425,43.498817966903076,6.154864328259431,0.31201248049922,0.975177304964539,13.762886597938145,11.73054587688734,61.394243464483765,1.014584654407102,0.6595927731574419,1.4193548387096773,,31.857178064708126
Other,0,0,0,0,0,0,0,0,2.6752767527675276,3.0260047281323876,0.1985440105890139,0,0,0.7216494845360825,0.34843205574912894,0.052812252442566675,0,2.9825064525379985,0,,46.63472734144066
Preposition,0,0,0,0,0,3.94842868654311,0.26229508196721313,20.475785896346643,0,0.425531914893617,0,98.75195007800312,4.078014184397164,37.06185567010309,7.4332171893147505,0.052812252442566675,1.7755231452124285,0,82.58064516129032,,48.96309736539953
Pronoun,0,0,0.9603841536614646,66.3,82.68348623853211,64.62530217566479,0.19672131147540983,0.33984706881903143,0,4.91725768321513,0,0,0,6.958762886597938,13.588850174216027,0.2904673884341167,0,16.604531115572126,0,,44.53225680110253
Verb,2.9055690072639226,4.3478260869565215,47.539015606242494,2.2,0,0.40290088638195,83.34426229508196,22.090059473237044,3.597785977859779,18.95981087470449,45.53275976174719,0.7800312012480499,75.26595744680851,1.804123711340206,59.23344947735191,3.3535780301029843,39.568801521876985,0.40149125322626905,10.709677419354838,,28.459375489611105

Focus,65.66941666783809,86.4892230925619,52.80009919646318,66.04850873209968,81.44118308287686,91.60182863909738,82.86570782523344,32.275657934892365,69.09653606447085,45.74908995023599,53.07641223030184,98.61641616000139,76.72643399004876,42.20156877663226,57.701752407074004,65.08131731282184,65.37446601285744,75.78259179730999,82.10927713496804

