Class,CLASS2577,CLASS2625,CLASS2626,CLASS2631,CLASS2633,CLASS2636,CLASS2638,CLASS2641,CLASS2642,CLASS2643,CLASS2645,CLASS2646,CLASS2647,CLASS2649,CLASS2650,CLASS2651,,Focus
VB,0,0.4374453193350831,0.6134969325153374,0,1.3779527559055118,0.1596169193934557,0,18.07718348002708,5.023474178403756,0.1335559265442404,0.3080082135523614,0,0.09629272989889263,0.603400987383434,0,34.23889607589478,,60.84058449959652
VBD,0,0,0.26292725679228746,0.18315018315018314,13.648293963254593,1.675977653631285,0,1.8957345971563981,8.028169014084508,0.9348914858096827,78.54209445585215,0,0.38517091959557054,16.89522764673615,0.4136029411764706,4.527813712807244,,61.30922210010122
VBG,0,0,0.7887817703768624,1.1904761904761905,10.301837270341208,0.4788507581803671,0.24549918166939444,1.0832769126607988,14.647887323943662,0.7679465776293823,4.979466119096509,0,2.1665864227250844,0.9873834339001646,1.3327205882352942,4.3553255713669685,,38.338655970174976
VBN,0,0,1.1393514460999123,2.197802197802198,2.6246719160104988,1.4365522745411012,0,0.6093432633716994,12.206572769953052,0.2671118530884808,1.7453798767967144,0,0.2407318247472316,0,1.0110294117647058,1.6817593790426906,,47.14586686544914
VBP,0,0,0,0.18315018315018314,0.19685039370078738,0.4788507581803671,0,23.628977657413678,1.7370892018779343,0.10016694490818029,0.5646817248459959,0,0.09629272989889263,0.08228195282501372,0.09191176470588235,0.733074601121173,,83.93788501447035
VBZ,0,0,0,0.5494505494505495,2.6246719160104988,0.4788507581803671,0,0,0.5164319248826291,0.0667779632721202,1.3860369609856265,0,0,0,0.5055147058823529,7.028891763691246,,54.643389724971115
WDT,0,0,0,0,0.26246719160104987,0,0,0,0,0,0,3.244646333549643,0,0,0,0,,92.31970914381105
WP,0,0,0,0,0,0,0,0,0,0,0,3.958468526930565,0,3.7575425123422925,0,0,,68.33946986186669
WP$,0,0,0,0,0.19685039370078738,0,0,0,0,0,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0.13540961408259986,0,0,0,0,0,5.595172792100932,0,0,,97.50804957473387

Focus,100.0,97.75658537779412,54.56792259520669,53.75875642889881,31.507729533696114,82.78909994951185,70.33426746271154,42.08857750377308,40.757871799697796,49.912296492598905,80.09582356905028,85.75232209221335,55.83654902487732,40.85956565624912,52.71908128785514,38.326536997243224

Adjective,0,0,5.6967572304995615,3.754578754578754,5.4461942257217855,4.150039904229849,0,3.3175355450236967,13.192488262910798,15.091819699499164,0.6160164271047228,0,0.14443909484833894,0.8502468458584751,28.07904411764706,3.5360068995256575,,36.290612186704266
Adverb,0,0,2.0157756354075373,22.344322344322347,18.766404199475065,0.7980845969672785,0,12.322274881516588,34.08450704225352,1.1018363939899833,0.6160164271047228,0.12978585334198572,3.7072701011073663,14.701042238069117,1.4246323529411764,2.3717119448037947,,36.016776277593046
Conjunction,0,0,0,0,0,6.225059856344773,0,0,0,0,0,0,0,29.04552934722984,0,0,,83.06218110950923
Determiner,100.0,0,5.346187554776511,8.333333333333332,1.837270341207349,0,56.54664484451718,0,0,0,0,4.218040233614536,0,0,1.0569852941176472,10.26304441569642,,58.32336286193135
GrammarOther,0,0,10.341805433829974,0,0,0,0,20.040622884224778,0.7042253521126761,0,4.004106776180698,4.931862426995457,13.33654309099663,0,0,0,,45.365728151770895
Noun,0,1.137357830271216,58.72042068361086,58.88278388278388,27.362204724409448,1.037509976057462,0,4.468517264725795,7.699530516431926,76.19365609348915,4.671457905544147,0.9085009733939001,1.4443909484833894,7.131102578167856,56.112132352941174,11.815437688658903,,33.49913534850762
Other,0,0,11.65644171779141,1.2820512820512822,0,0,0,0.2031144211238998,0,1.3689482470784642,0,0,0,0.6308283049917718,0.09191176470588235,0.258732212160414,,74.50673057641181
Preposition,0,0,0,0,0.26246719160104987,82.04309656823622,0,0,0,0,0.3593429158110883,0,78.18969667790081,21.886999451453647,0,13.410952996981457,,55.47065933083448
Pronoun,0,70.16622922134734,0,0,10.170603674540683,0,42.225859247135844,0,0.3755868544600939,0.3005008347245409,0,89.8118105126541,0,3.7575425123422925,6.755514705882353,4.570935748167313,,48.97673479755154
Verb,0,0.4374453193350831,2.8045574057844,4.304029304029304,30.7742782152231,4.708699122106943,0.24549918166939444,45.294515910629656,42.15962441314554,2.270450751252087,87.52566735112936,0,2.985074626865672,18.56829402084476,3.3547794117647056,52.5657611039241,,34.77656803993554

Focus,100.0,97.57435545108541,58.07083686438593,59.26504601375371,39.99967831915022,81.33939535474036,67.32908611802432,53.682848399813565,50.436681565960285,78.25216729423802,88.51237935177332,88.87643517427549,77.03283954052985,34.81008351368363,60.17644791425924,50.622769495572626

