Class,CLASS2588,CLASS2599,CLASS2600,CLASS2623,CLASS2625,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2633,CLASS2635,CLASS2638,CLASS2639,CLASS2641,CLASS2642,CLASS2643,CLASS2644,CLASS2645,CLASS2646,CLASS2647,,Focus
Adjective,24.12398921832884,5.601907032181168,7.349397590361445,4.746835443037975,0,2.218430034129693,9.500959692898272,12.364130434782608,0.17953321364452424,0,5.336426914153132,3.297442799461642,3.005464480874317,1.408450704225352,1.2624584717607974,1.1005502751375689,0,23.869475847893113,0.12476606363069245,0.6935687263556116,,30.519048534262232
Adverb,8.221024258760108,0.47675804529201427,2.1686746987951806,33.016877637130804,0.3558718861209964,30.944254835039818,1.8234165067178503,36.41304347826087,0.4488330341113106,2.0697167755991286,26.160092807424597,2.6917900403768504,2.021857923497268,12.816901408450704,0.8637873754152824,0.2001000500250125,0,5.78108941418294,0.18714909544603867,0.5044136191677175,,33.342243539528155
Conjunction,0,0,0,0,0,9.954493742889648,0,0,0,0,0,0,0,0,0,0,2.9467321496033247,0,55.14660012476607,0,,81.43699396694987
Determiner,0,0,0,0.42194092827004215,0,5.802047781569966,0,0,5.834829443447038,0,0.7540603248259861,0,13.005464480874318,0,0,0.4502251125562781,96.10880241783151,0,0,0,,78.31446392523456
GrammarOther,0,0,0,0,9.252669039145907,0,11.324376199616124,0,6.822262118491921,0,4.292343387470997,1.0094212651413188,0,20.845070422535212,0,0,0,0,0,12.799495586380832,,39.67077290231486
Noun,60.512129380053906,1.5494636471990464,83.37349397590361,3.481012658227848,0,13.594994311717862,69.00191938579654,2.989130434782609,7.360861759425494,0.6535947712418301,41.70533642691415,9.825033647375506,3.0054644808743167,4.225352112676056,13.687707641196013,10.905452726363182,0.4533434076312807,61.639260020554985,0.9981285090455396,4.539722572509458,,30.723181725870724
Other,0,0,0,0,0,0.11376564277588168,0,0,1.2567324955116697,0,1.3341067285382828,0,0,0.21126760563380279,0,5.2026013006503256,0,1.7985611510791366,0.37429819089207733,0,,53.28070739494566
Preposition,0,87.12753277711562,0,0,0,24.914675767918087,0,6.657608695652175,0.17953321364452424,0,0.23201856148491878,0.2691790040376851,56.33879781420765,0.21126760563380279,1.196013289036545,14.057028514257128,0,0.12846865364850976,1.7467248908296942,74.27490542244641,,44.716804510089744
Pronoun,0,0,0,0,0,7.792946530147896,0,0,76.75044883303411,87.36383442265794,0.40603248259860786,0.5383580080753702,0,0,15.548172757475085,60.63031515757879,0,0.2312435765673176,0,0,,49.38522806395925
Verb,2.15633423180593,4.767580452920143,4.096385542168675,55.696202531645575,87.4258600237248,2.3321956769055747,4.318618042226487,2.5815217391304346,0.8078994614003591,0,17.34338747099768,79.81157469717361,21.311475409836063,45.985915492957744,66.31229235880399,5.852926463231616,0.415564790328674,3.0575539568345325,39.6756082345602,6.809583858764187,,28.757474270152215

Focus,64.81448667105754,86.41884781746731,84.78633734409799,61.99545008661421,89.49657244797122,34.35162444398316,70.16425173991541,59.01462811264433,75.06606552546066,96.66866750902557,46.118319892699056,80.49021216024342,56.976848817442516,54.98851528706072,66.17474513003827,59.519961206721106,95.80043601482001,64.47008560204715,64.85239381394582,72.96913003412674

