Class,CLASS2630,CLASS2636,CLASS2641,CLASS2644,CLASS2645,CLASS2648,CLASS2649,CLASS2652,CLASS2653,CLASS2655,CLASS2656
Determiner,93.82839939789262,0,0,0.8478802992518703,47.233468286099864,0,0,2.891976183725546,0.5768748432405317,5.025380710659898,1.7384327360256755
GrammarOther,0,0,20.26009582477755,0,0,2.508767197194497,0,0,0,10.025380710659897,2.032629045199251
Noun,1.455092824887105,13.594771241830063,4.1067761806981515,28.97755610972569,0,4.963582411653628,57.532281205164985,9.951800396937907,74.24128417356408,2.8680203045685273,12.543460818400643
Other,0,0.39215686274509803,0.20533880903490762,2.743142144638404,7.017543859649122,0,0,0.396937907570173,0.7775269626285427,0,0.2407060711420166
Preposition,0,8.366013071895424,0,0,0,0.2967359050445104,0,14.658349872412815,0.2257336343115124,71.7258883248731,7.515378443434074
Pronoun,0,6.928104575163399,0,7.730673316708229,44.73684210526316,0.21580793094146208,0,3.8843209526509783,0.2257336343115124,0,58.464830168494245
Verb,0.5519317611640743,61.69934640522875,45.44832306639288,22.493765586034907,0.20242914979757085,74.39978419206905,2.4390243902439024,18.82619790189963,3.9879608728367195,6.802030456852791,0.34768654720513503

Focus,93.39067162690428,60.13901389115851,54.009336514500305,37.61536891738525,61.02697627390178,74.82266765527052,62.09326074281566,32.82370207521089,76.62003436977905,69.62405398975174,61.77380630591279

