Class,to,CLASS1284,CLASS2471,CLASS2526,CLASS2570,CLASS2586,CLASS2593,CLASS2601,CLASS2605,CLASS2606,CLASS2607,CLASS2613,CLASS2615,CLASS2617,CLASS2621,CLASS2622,CLASS2623,CLASS2625,CLASS2626,CLASS2629,CLASS2630,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2635,CLASS2636,CLASS2637,CLASS2638,,Focus

Focus,100.0,99.20991120338721,100.0,100.0,33.353412326114395,62.54574046405234,69.5990952744055,78.37339205552516,82.65359948639994,84.20003177896054,86.79586399391374,94.24800143766632,66.10507921415102,49.10523033312488,50.85848647081805,60.11488401061549,76.29253680098277,42.334218199413144,97.75658537779412,30.216834694407957,65.07643134796099,41.05994260129766,46.779939961172175,75.34641726780625,93.92724681854533,40.06700954014243,53.604675608066856,68.4713360065041,51.716943610191265

Adjective,0,0,0,0,4.737732656514383,2.394106813996317,65.61210453920219,5.701754385964912,0,0,0.261437908496732,0.2680965147453083,6.666666666666666,2.4691358024691357,21.182266009852217,0.9142857142857144,0,0.5920078934385792,0,5.525709900230238,5.381165919282512,3.996598639455782,4.948124501197127,1.4913007456503728,2.106270943034945,1.9848771266540641,23.606082548877627,0,9.346504559270517,,40.94939674298765
Adverb,0,0,0,0,18.95093062605753,2.578268876611418,20.907840440165064,1.3157894736842104,0.3640776699029126,0,0.39215686274509803,0,1.0884353741496597,0.7054673721340388,0.49261083743842365,1.2571428571428571,0.23014959723820483,27.133695115934877,0,16.270145817344588,2.3542600896860986,14.625850340136054,24.341580207501995,1.2427506213753108,1.675442795595979,28.92249527410208,18.971759594496742,0.4942339373970346,0.303951367781155,,28.362186654772902
Conjunction,0,0,0,99.79013641133263,0,0,0,0,1.3349514563106795,0,0,0,0,0,0,0,0,8.63344844597928,0,0,0,0,0,0,0,0,0,0,0,,90.93815691599893
Determiner,0,0,100.0,0,0,0,0,0,0,1.272984441301273,0,0,0,0,0,0,7.479861910241657,0,0,2.1488871834228704,1.2331838565022422,0,0.3192338387869114,0,93.8726663475347,17.296786389413988,0,0,0,,60.11853290198904
GrammarOther,0,0,0,0,2.5380710659898478,0,0,0,0,0,0,0,0,0,0,0,8.745684695051784,0,0,13.35379892555641,13.228699551569505,15.561224489795919,0,0,0,9.735349716446125,0,15.733113673805601,0,,36.62282442882316
Noun,0,0,0,0,11.336717428087988,10.681399631675877,7.4277854195323245,2.631578947368421,2.1844660194174756,0,9.15032679738562,1.0723860589812333,85.03401360544218,39.32980599647266,72.04433497536945,13.257142857142856,0.5753739930955121,14.306857424765663,1.137357830271216,18.726016884113584,72.53363228699553,4.931972789115647,50.598563447725454,4.5567522783761385,1.5318334131163236,3.6862003780718338,50.18102824040551,0,77.12765957446808,,26.52932992243383
Other,0,0,0,0,0,0,0,0,0.7281553398058253,14.71004243281471,1.8300653594771243,0,0,0,0,0,0,0,0,3.837298541826554,0,0,1.1173184357541899,0,0,0,0,0,2.5835866261398177,,61.084580014950454
Preposition,100.0,98.84836852207293,0,0,0,0,0,77.41228070175438,9.344660194174757,0,0.261437908496732,94.36997319034852,0,0,0,1.6,0,36.06314750863345,0,18.49577897160399,0,0,0,3.396851698425849,0,0,0.2896451846488052,0.5766062602965404,0,,39.81325107534833
Pronoun,0,0,0,0,1.353637901861252,19.521178637200737,0,0,0,81.8953323903819,86.66666666666667,0,0,40.917107583774246,0.5541871921182266,0,82.96892980437285,6.758756783423779,70.16622922134734,0.3069838833461243,0,0,0.23942537909018355,0,0,0,0,0,0,,39.307268333379504
Verb,0,0.7677543186180422,0,0,55.16074450084602,64.45672191528546,4.264099037138927,11.51315789473684,76.69902912621359,0.4243281471004243,1.1764705882352942,4.289544235924933,4.353741496598639,13.756613756613756,1.3546798029556648,81.59999999999998,0,4.489393191909225,0.4374453193350831,17.958557175748272,2.6905829596412554,43.5374149659864,16.60015961691939,86.99254349627175,0.6223073240785065,37.99621928166352,3.837798696596669,80.97199341021417,5.547112462006079,,25.85770593448256

Focus,100.0,99.1466109405063,100.0,100.0,57.961065154217565,64.08979597768977,66.60321240590716,77.0714530350263,83.48689009310456,82.77300708564087,85.89242320389545,93.83978022435528,86.47939907106334,53.93620551266588,75.78539173941607,81.85903123817594,81.76295461021952,40.57325868776436,97.57435545108541,26.152229547347062,72.82606515709598,52.717523547616594,53.58868739446003,87.99763486829627,93.42814727709323,43.61671771938079,54.522606157181905,82.44628740045867,79.87946429322199

