Class,to,and,CLASS2482,CLASS2554,CLASS2579,CLASS2581,CLASS2600,CLASS2609,CLASS2611,CLASS2612,CLASS2613,CLASS2618,CLASS2621,CLASS2622,CLASS2623,CLASS2624,CLASS2627,CLASS2630,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2637,CLASS2639,CLASS2640,CLASS2641,,Focus
NN,0,0,0,0.3194888178913738,6.590621039290241,1.1002444987775062,2.435897435897436,0.46415678184631254,0.3592814371257485,0,4.430379746835443,4.23968343697004,4.819277108433735,5.429864253393665,6.524466750313676,10.012515644555695,2.0481927710843375,0.22197558268590456,32.92240754169688,63.35403726708074,48.01110083256244,4.128440366972478,36.391752577319586,2.3178807947019866,21.92289828146772,0.62402496099844,,32.856586133370556
NNP,0,0,0,0,6.337135614702155,0,0.5128205128205128,0,1.0778443113772456,0,2.0569620253164556,10.005652911249294,0.2677376171352075,1.9004524886877827,0.8782936010037641,1.5018773466833542,0.3614457831325301,0.4439511653718091,0.43509789702683105,1.8633540372670807,1.942645698427382,30.351681957186543,27.938144329896907,0.33112582781456956,6.270320483046911,0.5720228809152366,,42.30185510121965
NNPS,0,0,0,0,0,0,0,0,0,0,0.31645569620253167,0,0,0,0,0,0,0,0,0,0,0,0.13745704467353953,0,0,0,,74.89088991113215
NNS,0,0,0,0,4.942965779467681,0,2.564102564102564,0.46415678184631254,1.1976047904191618,0,3.322784810126582,0.2826455624646693,0.4016064257028112,0.5429864253393665,1.8820577164366372,5.7571964956195245,0.24096385542168677,0.22197558268590456,1.7403915881073242,19.37888198757764,8.325624421831638,0,10.893470790378007,0,5.38783093358105,0.36401456058242326,,33.55694841514767
PRP,0,0,0,0,13.434727503168567,97.06601466992664,0,0,0,0,0,0,0,0,0.2509410288582183,0.2503128911138924,0,89.01220865704772,0,0,0,40.4434250764526,0,0,10.7756618671621,0.41601664066562666,,52.59159864249144
PRP$,0,0,0,0,0,0,0,0,0,81.66431593794076,0,0,0,0,0,0,0,0,0,0,0,0,0.30927835051546393,0,0,0,,99.60833157336363
RB,0,0,0,2.3961661341853033,1.1406844106463878,0,2.1794871794871793,0,0.3592814371257485,0,3.6392405063291138,29.11249293386094,0.535475234270415,14.841628959276019,23.71392722710163,6.382978723404255,4.216867469879518,0,12.037708484408991,1.3664596273291925,4.532839962997224,0.5351681957186544,0.8934707903780068,11.456953642384105,25.034835113794706,0.10400416016640666,,30.258478336628425
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145032632342277,0,0,0,0,0,0.09289363678588017,0,,71.06134368050883
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8325624421831638,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.406758448060074,0,0,0,0,10.91581868640148,0,0,0,3.4370645610775665,0,,68.61686094369938
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,0,0,0.791407574901074,0,0,0,0,0,0,0,0,0,0,0,0,0.23223409196470043,0,,79.69739210224871
VB,0,0,0,0.3194888178913738,49.556400506970846,0,1.0256410256410255,0,0.5988023952095809,0,3.1645569620253164,1.6958733747880157,0,52.85067873303168,1.5056461731493098,0,0.48192771084337355,0,0.43509789702683105,0,0.27752081406105455,0,0.13745704467353953,9.801324503311259,0.3715745471435207,0.62402496099844,,57.40870992978942
VBD,0,0,0,85.4632587859425,1.2674271229404308,0,72.17948717948718,0,73.77245508982035,0,47.310126582278485,0,0,7.963800904977375,10.41405269761606,3.128911138923655,5.421686746987952,0,0.8701957940536621,0.37267080745341613,0.5550416281221091,0,0.7560137457044673,17.549668874172188,6.038086391082211,1.40405616224649,,39.10949604104994
VBG,0,0,0,0.7987220447284344,1.1406844106463878,0,9.871794871794872,0.5673027333677153,2.155688622754491,0.4231311706629055,21.360759493670887,0.3391746749576032,0,1.2669683257918551,21.9573400250941,5.381727158948686,1.3253012048192772,0,1.305293691080493,1.9875776397515528,2.3126734505087883,1.2232415902140672,1.4089347079037802,1.1920529801324504,6.456107756618672,3.4841393655746224,,34.81044492245458
VBN,0,0,0,0.6389776357827476,0.6337135614702154,0,1.7948717948717947,0,0,0,5.537974683544303,0.11305822498586772,0,9.683257918552037,13.174404015056462,4.130162703379224,0,0,1.0877447425670776,0.8695652173913043,2.4051803885291396,1.6819571865443423,0.5498281786941581,0.4635761589403974,2.3223409196470044,1.24804992199688,,35.11538360468832
VBP,0,0,0,1.4376996805111821,11.533586818757922,0,0.641025641025641,0,0,0,0.31645569620253167,0.1695873374788016,0,1.085972850678733,3.889585947302384,0,0,0,0,0,0.37002775208140615,0,0.1718213058419244,16.95364238410596,0.13934045517882027,0.7280291211648465,,53.531694894877056
