Class,to,of,CLASS2388,CLASS2482,CLASS2526,CLASS2529,CLASS2579,CLASS2581,CLASS2583,CLASS2594,CLASS2597,CLASS2599,CLASS2603,CLASS2604,CLASS2606,CLASS2608,CLASS2609,CLASS2611,CLASS2612,CLASS2614,CLASS2615,CLASS2617,CLASS2619,CLASS2620,CLASS2621,CLASS2622,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2629,CLASS2630,CLASS2631,CLASS2632,,Focus
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5274261603375527,0,0,0,0,0,0,0,0,0,1.2738853503184715,0,,75.74181022821782
VB,0,0,0,0,0.4934210526315789,0,0,1.9946808510638299,0,0,0.5208333333333333,0.5244755244755245,0,0.47114252061248524,0.7017543859649122,0,1.7712177121771218,0,0,0,3.513909224011713,0,0,0,0.228310502283105,5.897887323943662,1.735357917570499,0.19550342130987292,1.1976047904191618,63.55029585798817,64.82412060301507,0,0,0,0.24283632831471588,,60.11946568718406
VBD,0,0,0,0,96.2171052631579,0,0.4694835680751174,43.21808510638298,0,0.4329004329004329,14.0625,0,1.3015184381778742,2.3557126030624262,1.4035087719298245,0.32751091703056767,0,0.7518796992481203,0,0,6.44216691068814,0,94.15121255349501,2.109704641350211,0,1.1443661971830987,12.364425162689804,70.96774193548387,3.6926147704590817,0.9467455621301776,5.025125628140704,0,0,0,1.5055852355512385,,41.73761194447042
VBG,0,0,0.45454545454545453,0,0.3289473684210526,0,22.065727699530516,17.68617021276596,0,2.380952380952381,1.215277777777778,1.5734265734265735,0.6507592190889371,1.0600706713780919,2.982456140350877,1.9650655021834063,1.1808118081180812,0.9398496240601504,0.48465266558966075,0.4243281471004243,14.055636896046853,0,0,1.6877637130801686,1.141552511415525,0.7922535211267605,4.121475054229935,4.69208211143695,20.55888223552894,0.591715976331361,5.276381909547738,0.205761316872428,0.7359705611775529,0,1.4084507042253522,,31.381542024342036
VBN,0,0,0,0,0,0,2.112676056338028,5.319148936170213,0,0,2.256944444444444,0.34965034965034963,0,1.884570082449941,3.1578947368421053,0.7641921397379913,0,2.0676691729323307,0,0,5.563689604685212,0,0,3.691983122362869,1.9406392694063925,0.6161971830985915,2.6030368763557483,2.1505376344086025,17.56487025948104,0.8284023668639053,0.7537688442211055,0,0.36798528058877644,0,0.9713453132588635,,34.08794316206515
VBP,0,0,0,0,0,0,0,3.856382978723404,0,0,0.5208333333333333,0,0,0.7067137809187279,0,0,0,0,0,0,0,0,1.5691868758915835,0.21097046413502107,0.684931506849315,22.535211267605636,0.8676789587852495,0.2932551319648094,0.39920159680638717,0.7100591715976331,11.683417085427136,0,0,0.27297543221110104,0.24283632831471588,,56.14604329670049
VBZ,0,0,0,0,0,0,0.9389671361502347,2.5265957446808507,0,0,3.6458333333333335,0.8741258741258742,0,1.0600706713780919,0.8771929824561403,0.6550218340611353,0,0,0,0,0.5856515373352855,0,0.28530670470756064,0.42194092827004215,0,0,16.919739696312362,1.857282502443793,0.998003992015968,0,0,0,0,0,0.09713453132588634,,54.07239153082802
WDT,0,0,0,0,0,0,0,0,0,0,0.6944444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.549590536851683,0,,87.37641037286116
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96309963099631,0,0,0,0,0.3003003003003003,0,0,0,0,0,0,0,0,0,0,0,5.550500454959054,0,,71.16020368210954
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2932551319648094,0,0,0,0,0,0,0,,100.0
