Class,to,and,CLASS1281,CLASS2480,CLASS2531,CLASS2541,CLASS2555,CLASS2557,CLASS2576,CLASS2577,CLASS2591,CLASS2598,CLASS2601,CLASS2603,CLASS2604,CLASS2605,CLASS2606,CLASS2610,CLASS2614,CLASS2615,CLASS2616,CLASS2617,CLASS2619,CLASS2622,CLASS2623,CLASS2624,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2631,CLASS2632,CLASS2633,,Focus
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2785388127853883,0,0,0,0,0,0,0.4608294930875576,0,0,,77.37589240678764
VB,0,0,0.3853564547206166,0,0,0,0.8492569002123143,0.42016806722689076,0.5698005698005698,0.9174311926605505,0,0,0.291970802919708,1.3043478260869565,0.8760951188986232,0,0,0,0,0.49813200498132004,0.6659267480577136,0.655307994757536,0,0,0,0,1.5011547344110854,0,1.2545739675901726,1.3729977116704806,48.31332189822756,1.1059907834101383,28.464818763326228,0.8460236886632826,,60.727532283813126
VBD,0,0,0,0,1.8214936247723135,0,76.43312101910828,86.27450980392157,2.4216524216524213,1.651376146788991,0.7246376811594203,0.3663003663003663,0.291970802919708,59.130434782608695,17.77221526908636,1.6783216783216783,0.6611570247933884,0,0,67.99501867995019,1.7758046614872365,0.7863695937090431,0.3811944091486658,29.27120669056153,0,0,7.621247113163972,0,0,0.2288329519450801,4.459691252144083,1.19815668202765,2.771855010660981,0.5076142131979695,,37.94222121884721
VBG,0,0,0.3853564547206166,0,2.5500910746812386,0,7.006369426751593,0.9803921568627451,0.9971509971509971,0.9174311926605505,10.869565217391305,2.380952380952381,0,18.804347826086957,2.002503128911139,2.5174825174825175,0,0.5050505050505051,0.3021148036253776,1.4943960149439601,14.761376248612654,0.9174311926605505,1.7789072426937738,0.35842293906810035,0.182648401826484,0,19.28406466512702,0,0.836382645060115,3.0892448512585813,1.6009148084619784,5.990783410138248,1.3859275053304905,0.5922165820642978,,29.459555549543232
VBN,0,0,0,0,2.5500910746812386,0,2.1231422505307855,0,2.2792022792022792,0.9174311926605505,1.8115942028985508,0,0.291970802919708,4.239130434782608,1.877346683354193,1.6783216783216783,0,0,0,0.49813200498132004,2.5527192008879025,1.9659239842726082,0.8894536213468869,0,0.547945205479452,0,15.935334872979215,0,0,0.4576659038901602,6.117781589479702,1.8433179723502304,0.9594882729211088,1.353637901861252,,33.256399870962454
VBP,0,0,0,0,0.36429872495446264,0,0,0,0.8547008547008548,0,0,0,0.583941605839416,0.6521739130434783,0.37546933667083854,0,0.49586776859504134,0,0,1.36986301369863,0.4439511653718091,0,0,0.35842293906810035,0.273972602739726,0,3.348729792147806,0,0,0.6864988558352403,0.6861063464837049,0,36.56716417910448,0,,77.42060245880087
VBZ,0,0,0,0,1.2750455373406193,0,2.9723991507431,0,0.4273504273504274,0.3669724770642202,0.7246376811594203,0,0,1.3043478260869565,2.3779724655819776,0,0,0,0,19.676214196762142,0,0,1.3977128335451081,0,0.365296803652968,0,2.655889145496536,0,0,0.4576659038901602,0,0,0,0.4230118443316413,,57.5155018028586
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3029259896729775,0,0,0,0,0,0,0.42643923240938164,0,,91.15656309273454
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.249569707401033,0,0,7.1615263983272355,0,0,0,0,0,,70.50348235281962
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37546933667083854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
