Class,CLASS2634,CLASS2643,CLASS2644,CLASS2646,CLASS2647,CLASS2649,CLASS2651,CLASS2653,CLASS2654,CLASS2655,CLASS2656,,Focus
Adjective,9.474260679079956,1.635079895949461,13.438546150167383,0.29256875365710944,1.3666072489601901,3.128103277060576,1.2206148282097649,0.8986928104575164,21.528365791701948,0.9259259259259259,1.8333333333333333,,40.88973944249606
Adverb,29.518072289156628,1.3006317354143442,15.925394548063126,4.798127559976595,1.3071895424836601,3.6246276067527305,20.43399638336347,6.672113289760348,4.424216765453006,6.512345679012346,0.4444444444444444,,32.55740994993246
Conjunction,0,0,0,55.64657694558222,0,0,8.408679927667269,0,0,0,0,,86.5512727457811
Determiner,0.21905805038335158,95.16908212560386,0,0,0,2.234359483614697,0,4.248366013071895,0.23285351397121082,0,5.5,,87.49462429430027
GrammarOther,6.4622124863088715,0,0,0,0,4.965243296921549,0,4.084967320261438,2.497883149872989,11.54320987654321,0,,42.46546601076469
Noun,7.7217962760131424,1.1891490152359718,56.91056910569105,2.7501462843768283,15.38918597742127,21.598808341608738,6.962025316455696,19.11764705882353,62.84928027095681,3.9814814814814814,2.7777777777777777,,35.79080694693672
Other,0,0,0,0,0,7.646474677259185,0.27124773960216997,0.7625272331154684,0.6562235393734123,0.0925925925925926,0,,79.80834388442204
Preposition,0,0,0,36.044470450555885,2.4955436720142603,4.915590863952334,8.860759493670885,0.054466230936819175,0,0.2777777777777778,78.0,,61.873034468468916
Pronoun,0.43811610076670315,0,0.1434720229555237,0.11702750146284377,8.9126559714795,38.282025819265144,6.1030741410488245,59.531590413943356,0.1905165114309907,0,0,,57.97091685475356
Verb,43.53778751369113,0.48309178743961356,10.425633668101387,0,69.281045751634,10.973187686196624,31.64556962025317,1.770152505446623,3.8526672311600336,68.7962962962963,11.027777777777779,,34.937102343262275

Focus,48.53549225505156,94.89009903863345,58.04472117297461,61.98275111026415,68.76921455351618,38.11505787404171,38.751024832061894,59.924295027717676,65.06712920574479,73.05134399913472,76.73564458077114

