Class,to,of,CLASS2391,CLASS2476,CLASS2511,CLASS2531,CLASS2537,CLASS2543,CLASS2570,CLASS2575,CLASS2579,CLASS2584,CLASS2587,CLASS2591,CLASS2593,CLASS2594,CLASS2600,CLASS2602,CLASS2603,CLASS2605,CLASS2607,CLASS2610,CLASS2611,CLASS2612,CLASS2613,CLASS2615,CLASS2616,CLASS2617,CLASS2618,CLASS2620,CLASS2621,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2628,CLASS2629,,Focus
WP$,0,0,0,0,0,0,0,0,0.6756756756756757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3252032520325203,0,0,8.151093439363818,0,0,0,0,0,0,0,0,23.6231884057971,0,0,0,0,0,0,0,0,0,0,0,0,,77.1714590382596

Focus,100.0,100.0,89.09222582107195,100.0,56.92663069425172,98.00785892610652,56.719745544017044,52.812445770185555,57.97624679878998,43.49723499049182,71.6413073624857,47.51591834558219,51.734963043748095,43.752132036727524,55.70285111113926,99.47193922647907,44.78060589712391,45.92820390802426,73.39696305155348,98.72820252276021,79.91574014261893,71.50418264882686,52.287143482913976,66.27826613028304,69.75097263536156,54.88551359846975,52.894026466405094,77.63863944319039,57.420631123711715,62.43026420547937,59.35060406417671,35.50915857351316,81.1995198835936,68.81836852830622,55.453600656029856,64.1495433602215,97.75658537779412,59.64266274159888

Adjective,0,0,0,0,6.428571428571429,0,5.470459518599562,0,9.234234234234235,4.398148148148148,0.6147540983606558,4.325699745547073,7.991803278688524,12.032520325203253,0,0,1.1928429423459244,16.37323943661972,0,0,0.7067137809187279,0,27.13375796178344,7.446808510638299,65.89147286821705,0.8695652173913044,0.7155635062611807,3.242617255356109,14.760147601476016,0,5.45790934320074,9.736540664375715,1.2875536480686696,0.8073817762399077,1.316614420062696,7.375776397515528,0,16.947250280583614,,31.207635671860913
Adverb,0,0,0,0,2.857142857142857,1.954732510288066,0.6564551422319475,41.81818181818181,51.35135135135135,0.9259259259259258,1.0245901639344261,24.93638676844784,0,3.4146341463414633,0,0,18.886679920477135,1.7605633802816902,0.27472527472527475,0,0.5889281507656066,26.156583629893237,0.25477707006369427,1.0638297872340425,19.638242894056848,46.086956521739125,35.95706618962433,0.8106543138390272,0.984009840098401,20.0,1.9426456984273819,9.163802978235967,0.9656652360515022,1.4994232987312572,1.128526645768025,16.925465838509314,0,12.121212121212121,,25.72138431634203
Conjunction,0,0,0,0,0,97.8395061728395,0,0,0,0,0,0,0,0,0,0,34.791252485089466,0,0,0,1.2956419316843346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,76.84406518339154
Determiner,0,0,0,100.0,0,0,0,27.532467532467532,0,0,0,0,0,0.6504065040650406,0,0,0,0,6.868131868131869,98.75876956287102,0,0,0,0,0,0,0,0.8685581933989578,0,0,0.8325624421831638,28.29324169530355,0,0,0,0,0,0,,53.68523385421944
GrammarOther,0,0,0,0,0,0,0,0,0,0,15.983606557377051,0,0,2.4390243902439024,7.4074074074074066,0,0,13.028169014084506,10.43956043956044,0,0,46.619217081850536,0,0,0,0,36.314847942754916,0,0,0,10.91581868640148,0,0,0,0,0,0,0,,42.871108618968634
Noun,0,0,97.4712643678161,0,75.95238095238095,0,91.46608315098469,26.233766233766232,3.828828828828829,48.842592592592595,0,8.01526717557252,84.01639344262296,10.569105691056912,7.8431372549019605,0,28.82703777335984,14.964788732394366,1.3736263736263736,0.6475984889368591,2.3557126030624262,0,60.50955414012739,82.9787234042553,8.785529715762273,6.81159420289855,2.862254025044723,2.2003474232773597,77.61377613776138,2.014388489208633,64.66234967622573,24.284077892325314,6.008583690987124,2.5374855824682814,13.66771159874608,9.782608695652176,1.137357830271216,63.18742985409652,,21.223816658640107
Other,0,0,2.0689655172413794,0,0,0,0,1.2987012987012987,0,0,0,0,0,0.4878048780487805,0,0,0,0,0,0,0.7067137809187279,0,3.694267515923567,0,0,0,0,0.11580775911986102,0,0,9.620721554116558,5.72737686139748,0,0,0,1.0869565217391304,0,0,,46.705853235833835
Preposition,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7713717693836974,42.42957746478873,0,0,9.069493521790342,0,0,0,0,45.94202898550724,0,77.30167921250724,0,56.11510791366906,0,0,0.9656652360515022,1.384083044982699,7.2727272727272725,0.15527950310559005,0,0.44893378226711567,,38.01060693361731
Pronoun,0,0,0,0,0,0,0,0,0.6756756756756757,24.074074074074073,0,0,0,1.3008130081300813,0,97.47474747474747,0,0,81.04395604395604,0,0,0,1.1464968152866242,0,0,0.2898550724637681,0,0,0,19.424460431654676,0,0.45819014891179843,0,0,14.670846394984327,61.64596273291926,70.16622922134734,0,,40.65936862927139
Verb,0,0,0.45977011494252873,0,6.428571428571429,0,1.312910284463895,1.0389610389610389,32.88288288288288,18.51851851851852,81.55737704918033,61.959287531806616,5.327868852459017,61.62601626016261,79.30283224400873,0.5050505050505051,6.759443339960239,11.091549295774648,0,0.5936319481921208,76.20730270906951,1.0676156583629894,0.3821656050955414,4.920212765957447,3.2299741602067185,0,23.792486583184257,14.70758540822235,3.1980319803198034,0.8633093525179856,2.7752081406105455,18.900343642611684,89.48497854077253,86.85121107266436,61.06583072100314,1.9409937888198758,0.4374453193350831,3.7037037037037037,,24.214266041735137

Focus,100.0,100.0,97.21190704578679,100.0,81.46836507027973,97.84296333508802,91.80263755881099,50.9349053931894,57.52564477019927,53.28099658047171,81.8071664306663,63.367581314140494,85.29549599730868,64.63221745567228,82.76149300966856,99.42858197719042,43.735664809170096,42.24893550576076,79.76521653630219,98.62423833399758,82.55423430228231,68.65778696858797,67.40312510743732,84.94960541656862,67.16775848480582,60.38685990214494,49.54672180167346,76.76212191020826,79.63096848496728,58.29494910962638,64.90554761935667,34.97878508953446,89.80523980485948,92.61314977911326,60.198341724376604,60.877916328314626,97.57435545108541,64.78787275869581

