Class,to,CLASS2524,CLASS2592,CLASS2596,CLASS2597,CLASS2603,CLASS2613,CLASS2615,CLASS2618,CLASS2622,CLASS2623,CLASS2624,CLASS2626,CLASS2627,CLASS2629,CLASS2630,CLASS2631,CLASS2634,CLASS2635,CLASS2636,CLASS2637,CLASS2639,CLASS2640,CLASS2641,CLASS2642,,Focus
NN,0,0,0.38167938931297707,61.38888888888889,0.22026431718061676,8.91089108910891,8.616187989556137,5.668016194331984,56.62055335968379,3.3544877606527654,1.1441647597254003,1.2012012012012012,8.871989860583017,0.2898550724637681,4.54054054054054,55.54465161923454,7.9492317969271875,28.65990990990991,8.668076109936575,0.837138508371385,2.7872195785180147,45.05356017643352,4.111175448755066,2.3914104441190824,0,,31.119524050279697
NNP,0,0,0.8905852417302799,1.8055555555555554,0.4405286343612335,1.4301430143014302,0,0,1.4822134387351777,3.71713508612874,0,0.15015015015015015,3.041825095057034,5.217391304347826,5.405405405405405,16.977428851815503,34.2685370741483,34.8536036036036,0.7399577167019027,0.91324200913242,1.1556764106050306,3.5916824196597354,3.532136653155762,0.19521717911176184,0,,40.131741201972694
NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0.25348542458808615,0,0,0.39254170755642787,0,0,0,0,0,0,0,0,0,,70.94348755890192
NNS,0,0,1.2722646310432568,21.944444444444443,0.5506607929515419,0.22002200220022,1.0443864229765014,0,9.387351778656127,0.6346328195829556,0,0.2502502502502503,4.816223067173637,0.14492753623188406,7.243243243243243,10.009813542688912,3.8744154976619907,9.90990990990991,1.6913319238900635,0.45662100456621,0,6.175173282923756,0.7527504342790967,1.0736944851146901,0,,31.695660949706323
PRP,0,0,0,0,0,0,0,0,0,60.10879419764279,75.51487414187643,0,0.25348542458808615,58.115942028985515,11.45945945945946,0,0,0,0.8456659619450317,0.15220700152207,0,9.325771896660367,0,0,5.668016194331984,,48.300924705523826
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5067567567567568,0,0,0,0,0,0,39.068825910931174,,98.67446259206486
RB,0,0,0.38167938931297707,1.3888888888888888,0.22026431718061676,0.77007700770077,20.10443864229765,0,0.8893280632411068,19.492293744333637,0.2288329519450801,1.7517517517517518,11.280101394169835,0.5797101449275363,19.135135135135133,0.49067713444553485,27.25450901803607,0.7882882882882882,18.39323467230444,0,12.236573759347383,6.994328922495274,18.645049218297626,3.5627135187896535,0,,26.613323546547544
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42283298097251587,0,0,0,0,0,0,,100.0
RBS,0,0,0,0,0,0,0,0,0.8893280632411068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,0,0,11.6600790513834,0,0,0,22.0532319391635,0,11.135135135135135,0,0,0,0,0,0,0,0,0,0,,58.72207581110451
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,1.2692656391659112,0,0,0,0,0,0,0.33400133600534404,0,0,0,0,0,0,0,0,,81.01877806223654
VB,0,0,0.38167938931297707,0,0.4405286343612335,73.7073707370737,0.6527415143603132,0.5398110661268556,0.691699604743083,0,0,0,0.5069708491761723,0.36231884057971014,20.54054054054054,0,1.068804275217101,0,1.3742071881606766,1.97869101978691,18.150917743031954,1.0712035286704475,0,0.29282576866764276,0,,62.733598265957426
VBD,0,0,78.37150127226464,0,2.4229074889867843,7.48074807480748,1.3054830287206265,1.349527665317139,0.8893280632411068,0.1813236627379873,0,0.10010010010010009,4.942965779467681,0.43478260869565216,3.567567567567568,0.9813542688910697,10.754843019372078,0.45045045045045046,7.6109936575052854,3.50076103500761,1.7675050985723997,0.7561436672967864,0,76.9643728648121,0,,51.78939851279074
VBG,0,0,2.1628498727735366,1.6666666666666667,0.7709251101321586,3.4103410341034106,2.8720626631853787,2.564102564102564,1.383399209486166,0.3626473254759746,0,0.5505505505505506,15.716096324461343,0,0,2.2571148184494603,3.674014696058784,0.3941441441441441,25.68710359408034,3.7290715372907153,1.2236573759347382,5.103969754253308,0.5211349160393747,4.782820888238165,0.20242914979757085,,36.00076251588848
