Class,to,CLASS1215,CLASS2474,CLASS2481,CLASS2524,CLASS2551,CLASS2554,CLASS2565,CLASS2579,CLASS2587,CLASS2593,CLASS2594,CLASS2598,CLASS2601,CLASS2603,CLASS2604,CLASS2605,CLASS2606,CLASS2610,CLASS2611,CLASS2612,CLASS2613,CLASS2614,CLASS2615,CLASS2617,CLASS2618,CLASS2621,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2631,,Focus
VB,0,0,0,0,0,1.7167381974248928,0.7677543186180422,0,2.380952380952381,0.29239766081871343,0,0.49261083743842365,0.5594405594405595,0,0.7035175879396985,0,0,1.3100436681222707,1.6689847009735743,1.2282497441146365,0.6265664160401002,0,0,0,26.99805068226121,0,52.62032085561498,0,0,0.727802037845706,0,45.21072796934866,0.4629629629629629,0,1.3513513513513513,0,,51.66970387880515
VBD,0,0,0,0,0,75.32188841201717,2.111324376199616,0,16.428571428571427,70.02923976608187,21.076233183856502,0.7389162561576355,70.34965034965035,0,73.76884422110552,0,0,3.2023289665211063,9.735744089012517,0.7164790174002047,0.8771929824561403,0,0,0.3252032520325203,2.729044834307992,0.8097165991902834,4.27807486631016,27.62119503945885,1.0512483574244416,0,0,0.7662835249042145,1.8518518518518516,0,0,2.5301204819277108,,35.658197776683224
VBG,0,0.3853564547206166,0,0.4048582995951417,0,5.150214592274678,0.5758157389635317,0,13.333333333333334,0.7309941520467835,2.690582959641256,2.0935960591133003,13.986013986013987,1.8018018018018018,1.809045226130653,0.5913978494623656,0.4243281471004243,39.15574963609898,15.159944367176633,0,2.506265664160401,1.0775862068965518,0,1.951219512195122,1.267056530214425,0,2.3529411764705883,0.3382187147688839,8.409986859395532,0.727802037845706,0,1.0217113665389528,1.6666666666666667,0,0.7985257985257985,1.566265060240964,,35.91788414725455
VBN,0,0,0,0,0,2.3605150214592276,0,0,9.285714285714286,0,2.242152466367713,1.2315270935960592,3.3566433566433567,3.2432432432432434,0,0,0,16.885007278020378,3.1988873435326846,1.1258955987717503,0.8771929824561403,0.43103448275862066,0,3.577235772357724,2.4366471734892787,0.6747638326585695,9.946524064171124,0,1.314060446780552,0.8005822416302766,0,0.8939974457215836,1.6666666666666667,0,0.36855036855036855,0.24096385542168677,,31.4304447006137
VBP,0,0,0,0,0,0,0,0,6.904761904761905,1.608187134502924,0,0,0.5594405594405595,0.36036036036036034,0,0,0,0.2911208151382824,0.27816411682892905,0,1.0025062656641603,0,0,0,34.1130604288499,0.4048582995951417,0.32085561497326204,0.3382187147688839,0,0.1455604075691412,0,1.277139208173691,0.2777777777777778,0,0.18427518427518427,0,,71.662689337717
VBZ,0,0,0,0,0,3.004291845493562,0.7677543186180422,0,5.476190476190476,20.321637426900587,1.1210762331838564,0,1.118881118881119,0,1.9095477386934674,0,0,1.1644832605531297,0.5563282336578581,0.511770726714432,1.3784461152882206,0,0,0.6504065040650406,0,0,0,0,0.5256241787122208,0.1455604075691412,0,0,1.2962962962962963,0,0,0.24096385542168677,,51.7259623739016
WDT,0,0,0,0,0,0,0,0,0,0,0.8968609865470852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7537399309551205,0,0,0,0,0,,87.17776350025268
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30303030303030304,0,0,0,0,0,0,0,7.019562715765247,0,0,0,8.292383292383294,0,,68.53842490852871
WP$,0,0,0,0,0,0,0,0,0,0,0.672645739910314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1949317738791423,0,0,0,0,0,0,0,0,0,12.530712530712531,0,,98.43634087512363
