Class,the,to,CLASS2236,CLASS2405,CLASS2483,CLASS2554,CLASS2558,CLASS2582,CLASS2592,CLASS2593,CLASS2594,CLASS2600,CLASS2604,CLASS2608,CLASS2609,CLASS2614,CLASS2616,CLASS2618,CLASS2619,CLASS2622,CLASS2623,CLASS2624,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2635,,Focus
Conjunction,0,0,97.86995515695067,0,0,0,0,0,0,16.386554621848738,1.4012738853503186,0,0,0,0,0,0,0,0,0,0,0,0,15.021459227467812,0,0,0,0,0,0,0,0,,75.94241581943183
Determiner,100.0,0,0,0,100.0,0,0,8.024691358024691,1.1378002528445006,0,0,81.59609120521174,0,0,0.6430868167202572,0,7.897934386391251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,52.57462117583898
GrammarOther,0,0,0,0,0,0,0,0,0,0,0,0,2.4350649350649354,0,0,0,9.234507897934387,0,0,24.242424242424242,0,9.101516919486581,0,0,0,0,0,0,6.96798493408663,0,24.0990990990991,0,,46.456262980558506
Noun,0,0,0,0,0,76.07296137339056,83.51409978308025,27.36625514403292,0,8.193277310924369,2.802547770700637,3.745928338762215,10.876623376623376,5.101143359718558,12.379421221864954,0.3836317135549872,12.150668286755772,89.70331588132638,5.303030303030303,4.013104013104013,83.94736842105263,0,15.666456096020212,9.442060085836909,0.6659267480577137,1.5126050420168067,76.73716012084593,67.54850088183422,38.79472693032015,9.580838323353294,6.606606606606606,43.983402489626556,,24.599345259530097
Other,0,0,0,0,0,0.2145922746781116,0,1.8518518518518516,13.147914032869783,0,0,0,0,0,0,0,1.701093560145808,0,0,0.2457002457002457,0,0,0.3790271636133923,0,0,0,0,1.7048794826572604,4.3314500941619585,0,0,0.9336099585062241,,56.10737941950957
Preposition,0,100.0,0,97.52650176678446,0,0,0,0.823045267489712,0,55.88235294117647,4.203821656050955,0,0,0.3518029903254178,0,0,0.24301336573511542,0,0,0.2457002457002457,0,0,0.2526847757422615,11.416309012875537,0,76.63865546218489,0,0,0.4708097928436911,0,50.150150150150154,0,,41.31208878261049
Pronoun,0,0,0,0,0,0,0,0.823045267489712,83.81795195954489,0.42016806722689076,0,0,1.2987012987012987,0,0.482315112540193,69.30946291560103,38.03159173754557,1.5706806282722512,0,0,0,0,6.696146557169931,11.587982832618025,89.01220865704772,0,0,0,1.4124293785310735,0,9.984984984984985,54.87551867219918,,39.131399851866
Verb,0,0,0,2.1201413427561837,0,8.905579399141631,4.989154013015185,41.1522633744856,0.37926675094816686,15.546218487394958,80.63694267515923,1.4657980456026058,55.032467532467535,90.41336851363236,18.4887459807074,1.4066496163682864,1.7010935601458081,0.34904013961605584,43.63636363636364,35.54463554463554,3.6842105263157894,88.21470245040838,73.59444093493367,1.7167381974248928,0,16.63865546218487,7.955689828801612,2.2339800117577897,15.725047080979285,7.784431137724551,7.582582582582583,0.2074688796680498,,25.566273181018012

Focus,100.0,100.0,97.6562293254417,97.2741738436713,100.0,77.7526557865351,88.60095484229505,45.88699632679123,84.48062838377159,55.46712854710497,88.65296659734658,80.29246169695455,56.46158019774723,90.74662609377384,51.34242133051055,69.02892046504954,51.77167197490991,91.75059638645587,59.860947817049784,47.191289294570836,86.96421375963534,90.08906449989779,73.39877444553413,45.90475019575837,99.17766315260505,77.22473633582912,78.02277262337904,71.51324985391156,41.54525306699547,61.99914158516289,50.74663103062797,66.22165569759738

