Class,the,on,and,she,it,what,as,for,that,at,all,not,CLASS63,CLASS252,CLASS1252,CLASS1269,CLASS1975,CLASS2094,CLASS2114,CLASS2160,CLASS2232,CLASS2330,CLASS2353,CLASS2356,CLASS2380,CLASS2394,CLASS2407,CLASS2416,CLASS2417,CLASS2418,CLASS2430,CLASS2434,CLASS2436,CLASS2444,CLASS2445,CLASS2447,CLASS2462,CLASS2466,CLASS2470,CLASS2476,CLASS2478,CLASS2479,CLASS2481,CLASS2482,CLASS2486,CLASS2487,CLASS2488,CLASS2490,CLASS2491,CLASS2493,CLASS2496,CLASS2497,CLASS2498,CLASS2500,CLASS2503,CLASS2508,CLASS2510,CLASS2513,CLASS2514,CLASS2515,CLASS2516,CLASS2517,CLASS2518,CLASS2519,CLASS2521,CLASS2522,CLASS2523,CLASS2524,CLASS2525,CLASS2527,CLASS2528,CLASS2529,CLASS2530,CLASS2532,CLASS2533,CLASS2534,CLASS2535,CLASS2537,CLASS2541,CLASS2542,CLASS2546,CLASS2547,CLASS2548,CLASS2549,CLASS2551,CLASS2552,CLASS2554,CLASS2555,CLASS2556,CLASS2557,CLASS2558,CLASS2559,CLASS2560,CLASS2561,CLASS2562,CLASS2563,CLASS2564,CLASS2565,CLASS2566,CLASS2567
TO,0,0,0,0,0,0,0,0,0,0,0,0,99.72677595628416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.050420168067227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.444444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3853564547206166,1.935483870967742,6.0606060606060606,0,0,0,0,0,67.2316384180791,0,0,0,0,6.382978723404255,0,1.3986013986013985,0,0,1.3043478260869565,0,0,0,3.816793893129771,0,0,0,0,0,0,1.4285714285714286,0.7299270072992701,73.24840764331209,0,0,0,0,0,0,0,0,3.431372549019608,0,0,0,24.770642201834864,0,0,2.0491803278688523,1.098901098901099,1.2605042016806722,0,1.5151515151515151,0.47694753577106513,64.75770925110133,49.13294797687861,0,0,0,0,0.9380863039399625,0,0,44.827586206896555,1.1695906432748537,0,0,3.7199124726477026,1.276595744680851,78.58880778588808,0,20.717131474103585,0,0,1.694915254237288,0,0,0.4434589800443459,4.918032786885246,1.509433962264151,0,0,0,0,0,2.9213483146067416
VBD,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,1.5151515151515151,0,0,0,0,0,3.389830508474576,0,0,0,1.5037593984962405,4.787234042553192,1.4598540145985401,17.482517482517483,0,7.006369426751593,0,0,0,0,0,0.91324200913242,0,0,0,0,0,36.78571428571429,15.328467153284672,8.280254777070063,0,0,0,0,2.631578947368421,44.44444444444444,0,0,1.4705882352941175,0,1.3071895424836601,0,4.128440366972478,3.5175879396984926,0,0,0,4.201680672268908,0.39447731755424065,0,93.0047694753577,0,0,0,0,3.755868544600939,0,3.564727954971857,2.1505376344086025,0,1.293103448275862,63.1578947368421,0,15.346534653465346,0,81.06382978723404,0.48661800486618007,0,4.382470119521913,0,1.0752688172043012,4.23728813559322,0,0,65.6319290465632,6.147540983606557,6.7924528301886795,92.11538461538461,1.1594202898550725,0.5970149253731344,1.1235955056179776,1.5337423312883436,25.168539325842698
VBG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3853564547206166,0,4.545454545454546,0,0,0,0,0,6.779661016949152,0.4524886877828055,0,0,0,23.404255319148938,2.18978102189781,0,8.148148148148149,21.656050955414013,0,0,0,0,0,14.15525114155251,0,1.345291479820628,0,6.185567010309279,0,2.857142857142857,1.824817518248175,0,0,1.4184397163120568,0,0,1.3157894736842104,0,0,0,0,0.5628517823639775,0,0.8658008658008658,0,2.512562814070352,2.8169014084507045,0,8.241758241758241,2.941176470588235,0.9861932938856016,5.555555555555555,0.3179650238473768,0,4.046242774566474,5.092592592592593,0,0.9389671361502347,0,2.4390243902439024,37.903225806451616,1.1111111111111112,0,9.941520467836257,0.6349206349206349,1.4851485148514851,1.9693654266958425,3.1914893617021276,3.40632603406326,0,5.9760956175298805,0,13.172043010752688,35.59322033898305,0,0.9523809523809524,19.290465631929045,14.754098360655737,1.509433962264151,0,2.608695652173913,0,0,0.7668711656441718,13.93258426966292
VBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.303030303030303,0,0,0,0,0,2.2598870056497176,0,0,0,0,1.0638297872340425,2.9197080291970803,66.43356643356644,0,1.910828025477707,0.8695652173913043,0,0,0,0,22.831050228310502,0,0,0,0,0,0,2.5547445255474455,1.2738853503184715,0,0,0,0,7.236842105263158,0,0,0,4.411764705882353,0,1.3071895424836601,0,0,1.507537688442211,7.042253521126761,0,0,8.823529411764707,0,5.05050505050505,0,0,0,0,0,0.9389671361502347,0,1.876172607879925,17.741935483870968,0,1.0775862068965518,5.847953216374268,2.2222222222222223,0,0,2.553191489361702,0.9732360097323601,1.1627906976744187,0,0,2.6881720430107525,0.847457627118644,0.6666666666666667,0,2.6607538802660753,0,6.7924528301886795,0,0.5797101449275363,0,0,0,6.51685393258427
VBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.03030303030303,0,0,0,0,0,0,0,0,0,0,0,2.18978102189781,0,0,0,0,0,0,0,41.98473282442748,0,0,0,0,0,0,0,0,5.7324840764331215,0,0,0,0,0,0,0,0,0,0,0,0,34.862385321100916,1.507537688442211,0.9389671361502347,0,0,0.42016806722689076,0,0,0.47694753577106513,0,46.82080924855491,0,0,0.9389671361502347,0,0,0,0,2.1551724137931036,0.5847953216374269,0,0,0,0,0,0,2.3904382470119523,0,0,0.847457627118644,0,0.9523809523809524,0,3.278688524590164,2.2641509433962264,2.1153846153846154,0,5.6716417910447765,0,0,6.51685393258427
VBZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127659574468085,0,0,0,0,2.1739130434782608,0,0,0,0,0,0,0,0,5.670103092783505,0,1.7857142857142856,60.21897810218978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.015075376884422,0,0,0,0.42016806722689076,0,0,0,0,0,0,0,0,0,0.37523452157598497,1.3440860215053763,0,0,1.461988304093567,0,0,0,5.74468085106383,0,0,0,0,1.0752688172043012,0,1.3333333333333335,0,0,1.639344262295082,1.509433962264151,0.38461538461538464,0,0,0,0,2.4719101123595504
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714286,0,0,25.773195876288657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098901098901099,0,0,0,0,0,0,0,0,0,0,0,31.443298969072163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
