Class,CLASS2224,CLASS2595,CLASS2596,CLASS2607,CLASS2609,CLASS2613,CLASS2620,CLASS2621,CLASS2622,CLASS2623,CLASS2625,CLASS2626,CLASS2629,CLASS2631,CLASS2632,CLASS2634,CLASS2635,CLASS2636,CLASS2637,CLASS2638,CLASS2639,CLASS2640,CLASS2641,CLASS2643,,Focus
RB,2.1252796420581657,0.3911342894393742,18.932038834951456,10.647639956092206,0.2724795640326975,0,24.803591470258137,1.36986301369863,4.315659679408138,0.7698887938408896,17.99645390070922,0.8547008547008548,0,3.4482758620689653,1.6,20.11400651465798,14.346895074946467,1.3449367088607596,0,12.605042016806722,1.199400299850075,0,14.78843736908253,5.9760956175298805,,24.548964950460412
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22246941045606228,0,0,0,0,0,0,0.14992503748125938,0,0,0,,70.57339308671959
RBS,0,0,0,0,0,0,0,0,0,0.7698887938408896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,0,0,0,10.094097519247219,0,0,0,0,0,0,0,0,0,0,0,0,0,10.032596885186527,,69.15675969282626
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.439695762404924,,100.0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40716612377850164,0,0,0,0,0,0,0.5865102639296188,0,,70.37446429245632
VB,0,4.432855280312908,0.3640776699029126,1.0976948408342482,0.544959128065395,0,1.7957351290684627,0,0.2466091245376079,0.8554319931565441,0,0.7326007326007326,0,1.4460511679644048,0.24615384615384617,0,0.4282655246252677,0,0.5357142857142857,16.5266106442577,63.6431784107946,0,0.9216589861751152,0.5795001810938066,,68.28584701870199
VBD,0,80.57366362451108,0.7281553398058253,0.6586169045005488,0,0,5.387205387205387,0.410958904109589,59.3094944512947,1.0265183917878529,0,79.73137973137973,0,3.5595105672969964,0.49230769230769234,10.260586319218241,40.114204139900075,1.5822784810126582,0.8928571428571428,1.8207282913165268,1.4992503748125936,0,0,3.5494386091995658,,42.334440360157224
VBG,0,1.4341590612777053,1.6990291262135921,0.21953896816684962,0.2724795640326975,0.37926675094816686,22.334455667789,2.191780821917808,20.96177558569667,1.9674935842600514,0,3.785103785103785,0,18.909899888765295,1.0461538461538462,1.6286644951140066,0.4996431120628123,1.4240506329113924,1.5178571428571428,1.1204481792717087,2.0239880059970012,0.415564790328674,0.4608294930875576,2.2455632017385008,,37.904044676246905
VBN,0,0,2.3058252427184467,0.21953896816684962,0,0,15.039281705948374,0,3.3292231812577064,2.4807527801539777,0.1773049645390071,1.3431013431013432,0,1.668520578420467,0,2.035830618892508,6.995003568879373,1.1867088607594938,0.35714285714285715,0.6302521008403361,0.6746626686656672,0,0.2932551319648094,2.3904382470119523,,38.813239535796974
VBP,0,0,0,0,0,0,3.254769921436588,0.410958904109589,0.4932182490752158,0.1710863986313088,0,0,0,0,0.1846153846153846,0,0.7851534618129907,0,0,24.439775910364144,1.1244377811094453,0,0.12568077084206117,0.5795001810938066,,77.19057364725825
VBZ,0,0,0.24271844660194172,0,0,0,1.4590347923681257,2.328767123287671,1.3563501849568433,0,0.3546099290780142,1.7094017094017095,0,0.6674082313681869,0,1.221498371335505,11.349036402569594,0.15822784810126583,0,0,0,0,0,0.8330315103223469,,52.546080114058846
WDT,0,0,0,0,6.811989100817439,0,0,0,0,0,0,0,0,0,0,0.32573289902280134,0,0,0,0,0,0,0,0,,95.34711069972347
WP,0,0,0,0,8.310626702997276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7394218684541265,0,,70.40838130287696
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24429967426710095,0,0,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1400560224089636,0,0,8.54629241726016,0,,98.33072284293252

Focus,97.83555951550812,83.42614288290287,66.63576274239034,63.84193983967339,72.76937662720213,75.54728015915857,36.84534796092719,65.59446615423889,63.22353642329136,60.14698862814043,72.52749787814122,79.84054370098232,99.23886423841178,35.613307434494274,50.137580896277754,49.89443906019989,47.1508871699668,53.42914395181177,92.3714839177252,42.93477591637428,64.7796184089905,96.12424561196731,42.18541958670345,48.812406974790576

Adjective,0,0,61.89320388349514,15.148188803512623,0,0,7.07070707070707,6.438356164383562,0.9864364981504316,9.067579127459366,8.067375886524824,0,0,5.89543937708565,11.015384615384615,7.5732899022801305,3.640256959314775,19.77848101265823,0,3.431372549019608,1.5742128935532234,0,0.5027230833682447,3.2959072799710247,,38.09434516410899
Adverb,2.1252796420581657,0.3911342894393742,18.932038834951456,10.647639956092206,0.2724795640326975,0,24.803591470258137,1.36986301369863,4.315659679408138,1.5397775876817792,17.99645390070922,0.8547008547008548,0,3.6707452725250276,1.6,20.11400651465798,14.346895074946467,1.3449367088607596,0,12.745098039215685,1.3493253373313343,0,23.33472978634269,5.9760956175298805,,24.66132834449572
Conjunction,97.6510067114094,1.4341590612777053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9467321496033247,7.331378299120235,0,,89.11181684386719
Determiner,0,0,0,0,6.811989100817439,1.1378002528445006,0,0,0,0,1.3297872340425532,0,0,2.6696329254727478,0,0.32573289902280134,15.917201998572446,0,0,0,0,96.10880241783151,3.812316715542522,0.5432814197754438,,74.78646765148163
GrammarOther,0,0,0,0,10.354223433242508,0,1.6835016835016834,0,0,10.094097519247219,0,9.523809523809524,0,0,0,0,0,0,0,20.72829131652661,0,0,0,10.032596885186527,,42.38211953531501
Noun,0,3.6505867014341593,10.558252427184465,67.72777167947311,1.3623978201634876,0,9.988776655443324,83.6986301369863,7.274969173859432,67.66467065868264,1.3297872340425532,1.465201465201465,0.6674082313681868,38.932146829810904,78.09230769230768,54.07166123778501,1.2134189864382585,69.06645569620254,4.196428571428572,3.081232492997199,17.391304347826086,0.4533434076312807,11.39505655634688,1.9195943498732344,,27.18895755887057
Other,0,0.7822685788787485,0,0,0,13.147914032869783,0,0,0,2.4807527801539777,0,0,0,1.0011123470522802,2.523076923076923,1.1400651465798046,0,0,0,0.21008403361344538,0.14992503748125938,0,0.5865102639296188,0,,60.21407550022072
Preposition,0,3.650586701434159,0,0.43907793633369924,0,0,4.601571268237935,0,0,0,0,0.8547008547008548,0,0,0,0,0.4996431120628123,0.39556962025316456,92.14285714285714,0,1.3493253373313343,0,32.25806451612903,67.36689605215501,,55.83662829162726
Pronoun,0,0,0,0,80.38147138964578,83.81795195954489,0.8978675645342313,0,0,0,70.39007092198581,0,89.21023359288098,16.907675194660733,0,0.24429967426710095,0.6423982869379015,0,0,0,7.946026986506746,0,5.7394218684541265,0,,42.049982016030185
Verb,0,86.4406779661017,5.339805825242719,2.1953896816684964,0.8174386920980925,0.37926675094816686,49.270482603815935,5.342465753424657,85.69667077681873,6.501283147989735,0.5319148936170213,87.30158730158729,0,26.251390433815352,1.9692307692307693,15.146579804560261,60.17130620985011,4.351265822784811,3.3035714285714284,44.53781512605042,68.9655172413793,0.415564790328674,1.8014243820695433,10.177471930459978,,27.32645861804748

