Class,CLASS2761,CLASS12479,CLASS12494,CLASS12501,CLASS12507,CLASS12510,CLASS12513,CLASS12520,CLASS12522,CLASS12524,CLASS12526,CLASS12527,CLASS12529,CLASS12531,CLASS12533,CLASS12534,CLASS12536,CLASS12537,CLASS12538,CLASS12539,CLASS12540,CLASS12541,CLASS12542,CLASS12543,CLASS12544
RBS,0,0,0,0,0,0,0.4577583305284416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,0,0,0,16.473289328030834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.371666968982407,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136332651670075,0,0
VB,0,0.07734806629834254,0,0.020208824520040417,0.05142857142857143,0,0.010097610232245036,0.09463852199316956,0,0.008199745807879957,0.49586776859504134,27.686350435624398,0.26966819087818034,0.052929656486529406,2.4914114148791824,0.007540056550424128,0.012149930137901707,0.0049043047534973825,0,1.3715578493407332,0,60.924147652189234,1.1123504988535664,0.5900600175332119,1.026705725093143
VBD,0,0.430939226519337,0,2.2701246210845403,0.09142857142857143,0,0.043756311006395154,0.3456363411924454,0,0.1106965684063794,0.09445100354191263,44.93824987532635,38.33196545120569,0.17466786640554705,0.005773838736684084,0.02639019792648445,0.01822489520685256,0,0,41.337622397398285,0.09472559808130278,0.5814465685842657,1.1712214166201895,4.89918403129004,8.44401467535053
VBG,0,1.5138121546961325,0,1.12495789828225,0.06285714285714285,0,0.7068327162571525,0.917582191498992,0,0.12709606002213933,0.5509641873278237,3.787145413476488,0.09770586626021026,1.418514793838988,0.0952683391552874,1.2177191328934966,0,0.008582533318620418,0.025159945366975776,0.9685743575241259,0.6872644456537074,3.440225530790239,2.283571915473756,0.07755074516150787,0.7991809106680698
VBN,0,2.1104972375690605,0,0.37386325362074774,0.8628571428571428,0.01235635734585444,0.06395153147088523,1.8598526930831587,0,0.024599237423639866,1.6214088941361666,7.28974155886063,0.035174111853675694,1.0374212671359764,0,0.22997172478793593,0,0,0,35.646364311216374,0,0.2664963439344551,0.006196938712276136,0.1820756625531054,0.7792724894058758
VBP,0,0.022099447513812154,0,0.04715392388009431,0,0,0.006731740154830023,0,0,0,0,3.7460764469476957,12.678313205924885,0,0.002886919368342042,0,0,0,0,1.2018805896284774,0.006046314771146986,2.03506299004493,0.021689285492966472,18.217681569896822,0.07678962486846222
VBZ,0,0.03867403314917127,0,0.0370495116200741,0.04,0,0.27263547627061596,0,0,0.1106965684063794,0.011806375442739079,1.5136847663469155,37.683198499237896,0.031757793891917636,0.007217298420855106,0,0,0,0,2.863303757644314,0.010077191285244976,0.5418024843626112,0.04028010162979488,0.8800323690066761,0.34128722163760983
WDT,0,0,25.471752553522997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.424738179339407,0,0
WP$,0,0,0,0,0,0,0,0,1.048671682535455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.71611823759063,0,0

Adjective,0,27.48066298342541,0,3.1155271135062312,3.9828571428571427,0,0.541905082463817,3.855491091634777,20.607230840934815,0.8281743265958754,26.30066902794176,2.5609434128311186,0.23058584437409624,8.638119938601598,0.09093796010277433,3.713477851083883,3.408055403681429,0.0049043047534973825,0.025159945366975776,6.504294955636467,0.014108067799342969,0.6122808563122192,0.9388362149098346,3.894396115719199,2.7132334120189983
